time,temperature_c,co2_ppm
2000-01-01,14.137806,369.45
2000-02-01,15.531453,369.71
2000-03-01,21.922794,370.75
2000-04-01,30.275196,371.98
2000-05-01,33.882824,371.75
2000-06-01,31.858433,371.87
2000-07-01,29.99875,370.02
2000-08-01,30.553055,368.27
2000-09-01,29.793192,367.15
2000-10-01,27.22077,367.18
2000-11-01,21.12897,368.53
2000-12-01,15.797482,369.83
2001-01-01,13.199005,370.76
2001-02-01,17.68865,371.69
2001-03-01,22.626663,372.63
2001-04-01,28.442944,373.55
2001-05-01,32.351368,374.03
2001-06-01,31.038921,373.4
2001-07-01,31.028065,371.68
2001-08-01,31.020563,369.78
2001-09-01,30.33987,368.34
2001-10-01,26.971827,368.61
2001-11-01,20.747429,369.94
2001-12-01,16.103844,371.42
2002-01-01,14.199157,372.7
2002-02-01,17.006441,373.37
2002-03-01,23.376286,374.3
2002-04-01,30.192379,375.19
2002-05-01,33.745968,375.93
2002-06-01,33.76606,375.69
2002-07-01,34.66017,374.16
2002-08-01,30.885248,372.03
2002-09-01,28.012379,370.92
2002-10-01,26.3254,370.73
2002-11-01,20.486217,372.43
2002-12-01,16.183731,373.98
2003-01-01,12.131217,375.07
2003-02-01,17.24255,375.82
2003-03-01,22.377316,376.64
2003-04-01,29.81553,377.92
2003-05-01,32.48092,378.78
2003-06-01,34.305622,378.46
2003-07-01,30.065527,376.88
2003-08-01,30.29329,374.57
2003-09-01,28.936157,373.34
2003-10-01,25.482517,373.31
2003-11-01,19.758913,374.84
2003-12-01,15.2400465,376.17
2004-01-01,13.641518,377.17
2004-02-01,18.093142,378.05
2004-03-01,25.258804,379.06
2004-04-01,30.35278,380.54
2004-05-01,32.57687,380.8
2004-06-01,31.847843,379.87
2004-07-01,32.94903,377.65
2004-08-01,29.9495,376.17
2004-09-01,30.08788,374.43
2004-10-01,24.923468,374.63
2004-11-01,20.592524,376.33
2004-12-01,16.344423,377.68
2005-01-01,13.964979,378.63
2005-02-01,17.089777,379.91
2005-03-01,23.602928,380.95
2005-04-01,28.242397,382.48
2005-05-01,32.06619,382.64
2005-06-01,34.08832,382.4
2005-07-01,30.422453,380.93
2005-08-01,31.463182,378.93
2005-09-01,29.376192,376.89
2005-10-01,25.835762,377.19
2005-11-01,20.420897,378.54
2005-12-01,14.330036,380.31
2006-01-01,14.89407,381.58
2006-02-01,21.611584,382.4
2006-03-01,22.42511,382.86
2006-04-01,28.842823,384.8
2006-05-01,32.212982,385.22
2006-06-01,31.255337,384.24
2006-07-01,30.899492,382.65
2006-08-01,30.959307,380.6
2006-09-01,29.621922,379.04
2006-10-01,26.860945,379.33
2006-11-01,21.185108,380.35
2006-12-01,16.180664,382.02
2007-01-01,14.315884,383.1
2007-02-01,18.020601,384.12
2007-03-01,21.967567,384.81
2007-04-01,30.481188,386.73
2007-05-01,32.330498,386.78
2007-06-01,33.02814,386.33
2007-07-01,31.66802,384.73
2007-08-01,30.994719,382.24
2007-09-01,29.827291,381.2
2007-10-01,25.367565,381.37
2007-11-01,20.615614,382.7
2007-12-01,15.506639,384.19
2008-01-01,13.802769,385.78
2008-02-01,16.267733,386.06
2008-03-01,25.194723,386.28
2008-04-01,28.733364,387.33
2008-05-01,30.725481,388.78
2008-06-01,30.584967,387.99
2008-07-01,31.004229,386.61
2008-08-01,30.0328,384.32
