City,R2_Temp,R2_Precip,RMSE_Temp,RMSE_Precip
Corpus Christi,0.9972859052390997,0.5149440846066307,0.37126465579944884,94.02732061358839
San Francisco,0.9999999999998617,0.9999999999999944,1.2556143809715186e-06,4.6805430423644e-06
New Delhi,0.9999999999999065,0.9999999999999927,2.039910561903393e-06,8.025392421635245e-06
Chicago,0.9999999999999862,0.9999999999999816,1.179618584732549e-06,6.7688453635557474e-06
