time,temperature_c,precipitation_mm,sea_level_pressure_hpa,relative_humidity_pct
2000-01-01,11.290099,149.58768,1021.05676,85.379036
2000-02-01,12.038088,192.6327,1016.57587,87.32655
2000-03-01,12.729488,51.46911,1017.8871,76.951614
2000-04-01,14.904459,31.966366,1017.59534,75.85
2000-05-01,16.493074,26.849667,1015.2019,73.41871
2000-06-01,18.372965,5.0296063,1013.2883,65.925
2000-07-01,17.627878,0.86673486,1014.93,69.685486
2000-08-01,18.74189,0.23902996,1013.6361,64.15323
2000-09-01,19.39807,5.5022616,1012.371,69.458
2000-10-01,15.777709,69.06085,1014.2555,76.257744
2000-11-01,10.744376,21.14909,1019.29266,80.38333
2000-12-01,10.237742,17.673069,1020.48193,80.491936
2001-01-01,8.87329,88.245865,1019.3103,82.42645
2001-02-01,10.31854,165.55336,1016.25354,86.41
2001-03-01,13.278283,38.801487,1016.39453,85.879036
2001-04-01,12.416274,36.246304,1017.3257,84.391335
2001-05-01,18.23633,0.0,1014.3858,66.298065
2001-06-01,18.679314,3.2194436,1014.1587,64.791664
2001-07-01,18.067429,0.3681005,1013.61,67.9029
2001-08-01,18.436758,0.2894631,1014.0061,70.94355
2001-09-01,17.603518,6.386861,1012.684,70.691666
2001-10-01,17.21548,9.917544,1015.38837,70.17742
2001-11-01,13.887109,111.07666,1017.22363,83.591
2001-12-01,10.661182,222.60916,1019.1803,87.23258
2002-01-01,8.964215,47.533997,1021.6397,84.51613
2002-02-01,11.520595,43.94011,1021.7182,87.0
2002-03-01,11.94753,65.67178,1019.059,79.854836
2002-04-01,13.936518,8.620389,1017.21234,81.15833
2002-05-01,15.02495,20.68699,1015.739,74.491936
2002-06-01,17.331236,0.4220072,1013.23364,69.325
2002-07-01,18.676334,0.0,1013.68805,67.95968
2002-08-01,18.565472,0.21456896,1013.5397,66.0
2002-09-01,19.075151,0.0,1012.022,63.416668
2002-10-01,16.407433,0.1980525,1014.37,65.54032
2002-11-01,13.866667,69.54851,1018.39667,69.00833
2002-12-01,11.12724,278.68323,1017.9252,86.758064
2003-01-01,12.054617,47.13024,1021.35645,89.33064
2003-02-01,11.142754,48.785816,1016.47107,82.66071
2003-03-01,13.417287,38.04472,1018.1803,82.78226
2003-04-01,12.431824,88.16973,1016.407,85.74167
2003-05-01,15.73549,21.005543,1015.25903,76.76613
2003-06-01,18.05119,0.051914208,1011.9733,70.75833
2003-07-01,19.072338,0.092430905,1013.9993,63.830647
2003-08-01,19.854368,0.55222344,1014.8542,71.1371
2003-09-01,20.026056,0.23480721,1012.46436,63.35
2003-10-01,17.685574,0.2681311,1014.29034,64.94355
2003-11-01,11.847485,38.80262,1018.515,78.63333
2003-12-01,10.723133,168.34908,1018.4845,87.145164
2004-01-01,9.909305,68.715546,1020.19257,87.145164
2004-02-01,11.01969,122.74437,1018.16724,85.88793
2004-03-01,15.419619,17.333595,1017.7,85.048386
2004-04-01,15.529373,3.5680556,1016.58435,77.525
2004-05-01,16.313421,1.9120476,1015.8545,76.3871
2004-06-01,17.500214,0.0,1013.92633,72.28333
2004-07-01,18.926474,0.046675768,1013.71356,73.185486
2004-08-01,19.621466,0.30717716,1013.9913,69.65323
2004-09-01,19.888613,3.2808976,1012.67664,63.066666
2004-10-01,15.921242,66.36687,1013.1694,75.91129
2004-11-01,12.212115,37.476486,1019.75366,78.075
2004-12-01,10.371599,169.08134,1018.00323,82.185486
2005-01-01,9.212098,107.12718,1017.4413,89.048386
2005-02-01,12.434693,101.66525,1015.94037,87.22321
2005-03-01,13.864535,109.573364,1017.44165,84.83871
2005-04-01,13.665365,45.131744,1017.847,83.791664
2005-05-01,16.460985,41.185513,1015.2242,84.30645
2005-06-01,16.991926,13.916965,1013.01935,78.51667
2005-07-01,19.212563,0.25016457,1012.80164,70.01613
2005-08-01,18.408283,0.07572764,1013.061,68.314514
2005-09-01,17.223076,1.1493385,1014.64136,69.9
2005-10-01,16.252272,8.795427,1015.64777,72.58871
2005-11-01,13.738916,35.184822,1019.22266,73.058334
2005-12-01,11.604865,217.6429,1019.19836,85.17742
2006-01-01,10.887342,125.24167,1021.00903,85.620964
2006-02-01,11.685846,50.31852,1018.9593,84.1875
2006-03-01,10.787741,180.81905,1015.749,86.92742
2006-04-01,13.467133,121.10646,1014.97736,88.84167
2006-05-01,16.358402,10.988678,1015.0371,79.21774
2006-06-01,18.553816,0.21047746,1014.5127,73.14167
2006-07-01,20.458061,0.0,1013.22095,63.25
2006-08-01,18.365215,0.0,1013.3858,69.41129
2006-09-01,17.823063,0.022000877,1013.23834,60.375
2006-10-01,15.984633,9.21308,1014.80066,67.701614
2006-11-01,12.944615,54.672092,1019.06866,79.65833
2006-12-01,9.905404,91.667534,1021.6903,76.8629
2007-01-01,8.662825,15.656394,1022.1268,76.991936
2007-02-01,11.424738,114.908875,1019.06323,85.625
2007-03-01,13.7060585,8.718184,1019.4055,83.5
2007-04-01,14.121238,36.865025,1017.35565,79.525
2007-05-01,15.990602,7.372239,1015.41583,71.48387
2007-06-01,17.447033,0.0,1014.3693,69.25833
2007-07-01,18.854265,0.10017202,1013.8055,74.548386
2007-08-01,19.070698,0.0,1012.64325,68.78226
2007-09-01,18.355433,4.0871406,1013.572,72.59167
2007-10-01,15.626623,63.136925,1016.64484,73.42742
2007-11-01,13.162105,21.95238,1018.18335,72.225
2007-12-01,9.042829,85.59599,1021.5029,76.04032
2008-01-01,9.039295,187.80286,1017.5145,79.91936
2008-02-01,10.896461,69.75829,1019.0138,82.51724
2008-03-01,12.182597,6.714725,1021.52356,77.70968
2008-04-01,13.411483,2.8447018,1018.9587,71.066666
2008-05-01,15.787324,0.5366584,1014.3103,70.96774
2008-06-01,17.711815,0.0,1014.1743,61.883335
2008-07-01,18.442984,0.022320801,1012.7055,67.66129
2008-08-01,19.261286,0.093589865,1011.3697,67.258064
2008-09-01,19.07766,0.0,1012.48566,64.816666
2008-10-01,17.312016,18.139807,1016.91,64.314514
2008-11-01,14.261537,64.672516,1019.0707,78.13333
2008-12-01,8.816608,66.16854,1018.701,76.870964
2009-01-01,10.504486,24.714401,1021.9894,74.298386
2009-02-01,11.009067,184.24852,1016.6857,83.20536
2009-03-01,12.322964,65.771996,1018.3903,80.01613
2009-04-01,13.839312,13.073233,1017.3103,72.28333
2009-05-01,16.17268,20.641262,1015.19904,74.57258
2009-06-01,17.796684,1.0452961,1012.43036,72.28333
2009-07-01,17.870214,0.07028496,1013.88257,65.19355
2009-08-01,19.172337,0.18020214,1014.04224,68.28226
2009-09-01,19.804893,11.911379,1013.2553,65.5
2009-10-01,16.291758,97.80944,1014.4136,73.80645
2009-11-01,12.737917,10.920946,1017.5993,71.291664
2009-12-01,9.3021345,77.32417,1017.39905,81.01613
2010-01-01,10.323119,164.91992,1014.38354,86.09677
2010-02-01,11.994716,81.46591,1015.3707,87.84821
2010-03-01,12.350514,60.77067,1018.31805,78.08871
2010-04-01,12.792075,91.6356,1015.32965,80.316666
2010-05-01,14.350066,26.746672,1017.2287,76.879036
2010-06-01,17.76111,0.4324446,1014.83936,72.86667
2010-07-01,17.8938,0.0,1012.8603,71.51613
2010-08-01,18.03258,0.12637137,1012.2887,71.241936
2010-09-01,20.103117,1.4501046,1012.2137,70.14167
2010-10-01,17.61762,33.04642,1016.2955,75.33064
2010-11-01,12.696806,67.39687,1019.233,75.15833
2010-12-01,11.2013235,162.49326,1016.35803,86.185486
2011-01-01,9.987099,28.580708,1020.3039,80.48387
2011-02-01,10.175714,107.14297,1018.73145,76.41964
2011-03-01,12.181347,154.49739,1018.08905,86.27419
2011-04-01,13.42814,7.4890504,1018.41534,79.8
2011-05-01,14.302285,18.222015,1016.30255,77.814514
2011-06-01,16.613674,50.41543,1013.21436,76.825
2011-07-01,18.055763,0.23611528,1012.4736,72.048386
2011-08-01,17.82449,0.080213405,1013.1571,73.33871
2011-09-01,19.165926,0.25730163,1013.55597,69.61667
2011-10-01,17.656363,31.255432,1015.5929,74.854836
2011-11-01,12.267371,34.29433,1018.05035,76.325
2011-12-01,9.2213125,3.228347,1021.5535,68.30645
2012-01-01,9.908704,62.908432,1021.35547,74.03226
2012-02-01,11.202748,17.813652,1019.0569,78.32758
2012-03-01,11.616624,131.5269,1017.04675,82.32258
2012-04-01,14.040445,76.91629,1017.2133,80.316666
2012-05-01,15.527977,0.22420365,1015.5916,72.314514
2012-06-01,16.982094,2.4777622,1013.521,70.71667
2012-07-01,17.810637,0.24301523,1013.7329,71.41936
2012-08-01,17.893526,0.02402101,1012.6287,63.580647
2012-09-01,17.004005,0.0,1014.697,65.14167
2012-10-01,17.354656,21.945759,1015.821,73.814514
2012-11-01,14.122175,79.109024,1017.884,77.058334
2012-12-01,10.542904,182.69382,1017.3806,82.0
2013-01-01,8.685046,8.449875,1021.8361,75.17742
2013-02-01,10.500937,13.400051,1020.80286,77.63393
2013-03-01,13.254015,12.7392845,1018.82385,83.314514
2013-04-01,15.901904,23.464582,1017.188,74.375
2013-05-01,16.794125,0.7904362,1016.0213,70.241936
2013-06-01,18.254763,3.2352057,1013.3483,71.00833
2013-07-01,18.489883,0.021767167,1012.8968,68.27419
2013-08-01,18.690128,0.1506208,1014.0816,68.44355
2013-09-01,19.016138,9.339355,1012.61865,69.15
2013-10-01,15.4988985,0.02700707,1015.1961,60.572582
2013-11-01,13.397464,26.802547,1017.2263,66.575
2013-12-01,8.652572,15.910961,1020.32935,66.97581
2014-01-01,11.78598,0.8089665,1020.25,70.72581
2014-02-01,12.303907,102.370544,1017.49963,85.83036
2014-03-01,14.721687,63.734135,1017.5542,81.29032
2014-04-01,15.184864,52.292374,1016.60565,78.38333
2014-05-01,17.51856,0.5226727,1016.2445,66.379036
2014-06-01,17.93757,3.9974315,1012.1113,65.583336
2014-07-01,19.843714,0.2404514,1014.2868,69.870964
2014-08-01,19.847603,0.30140153,1013.5484,67.951614
2014-09-01,20.233639,11.262756,1011.70764,68.75833
2014-10-01,18.930151,7.0125647,1014.4408,65.3629
2014-11-01,14.404039,51.141624,1018.4,72.13333
2014-12-01,13.208398,282.53482,1017.8581,85.76613
2015-01-01,11.344396,0.021507638,1020.56696,80.129036
2015-02-01,14.134481,54.50247,1017.1625,83.625
2015-03-01,15.558282,3.8808045,1018.69196,80.97581
2015-04-01,14.754935,31.426048,1016.3225,73.85833
2015-05-01,14.931542,3.1599488,1014.3411,78.69355
2015-06-01,18.458282,5.119151,1012.6633,69.225
2015-07-01,20.071274,0.7445315,1013.72095,74.69355
2015-08-01,20.683695,0.37410697,1013.9234,74.46774
2015-09-01,20.277733,0.6373133,1011.9608,64.666664
2015-10-01,19.12492,0.8305489,1014.30804,73.66129
2015-11-01,11.9364605,43.357304,1018.24084,74.575
2015-12-01,9.80324,111.037735,1019.77985,80.564514
2016-01-01,11.700641,163.50836,1018.3645,87.51613
2016-02-01,13.840612,20.94411,1020.8336,80.905174
2016-03-01,14.223428,164.33644,1017.11774,85.1129
2016-04-01,16.09707,31.995918,1017.1492,78.166664
2016-05-01,17.035955,3.21257,1014.38385,77.33064
2016-06-01,18.804054,0.0,1014.8,67.8
2016-07-01,18.656013,0.050290126,1014.09033,67.258064
2016-08-01,18.627491,0.051032145,1013.4669,71.91129
2016-09-01,19.10548,0.0,1014.15,66.03333
2016-10-01,17.431255,88.59524,1015.2452,77.28226
2016-11-01,14.33875,45.10903,1018.30914,78.191666
2016-12-01,10.126551,115.87726,1019.129,79.370964
2017-01-01,10.1516905,267.4024,1016.84436,84.02419
2017-02-01,12.555008,225.61998,1015.58484,86.05357
2017-03-01,14.2479725,82.99284,1019.9895,84.17742
2017-04-01,15.140555,72.1883,1017.36414,80.96667
2017-05-01,17.164503,0.04187812,1014.1694,75.3871
2017-06-01,18.869526,1.5017397,1013.11334,73.10833
2017-07-01,19.409985,0.0,1013.8145,65.435486
2017-08-01,19.677114,0.060171995,1012.80646,70.53226
2017-09-01,21.163654,1.8362756,1012.4217,67.558334
2017-10-01,17.433931,6.5668235,1015.0048,61.51613
2017-11-01,13.989383,77.81709,1017.7083,81.75833
2017-12-01,10.148948,2.8465917,1021.1315,63.491936
2018-01-01,11.432428,125.52545,1020.64355,83.83871
2018-02-01,11.853006,7.291804,1019.50806,73.49107
2018-03-01,12.476926,124.47051,1017.3516,81.77419
2018-04-01,14.513565,78.66748,1018.0108,81.025
2018-05-01,16.045555,0.48526424,1015.25,77.90323
2018-06-01,18.371338,0.02704069,1012.9083,70.3
2018-07-01,19.353691,0.0,1014.925,68.120964
2018-08-01,18.3858,0.0,1014.1234,69.5
2018-09-01,17.880955,0.0,1012.7008,68.14167
2018-10-01,17.502943,2.4847808,1014.6758,68.8871
2018-11-01,13.599852,99.87932,1017.2225,66.7
2018-12-01,11.188989,51.36183,1020.07825,76.91129
2019-01-01,12.149381,121.314964,1017.95966,80.58871
2019-02-01,10.100997,200.99236,1014.5643,76.40179
2019-03-01,12.87995,105.21205,1017.7065,82.048386
2019-04-01,15.802159,12.86291,1016.54584,80.925
2019-05-01,15.384222,61.995842,1013.4258,81.41936
2019-06-01,19.31728,0.0,1013.3125,65.51667
2019-07-01,19.272224,0.0,1014.11615,70.008064
2019-08-01,21.022974,0.0,1013.1855,72.201614
2019-09-01,20.244022,3.2653213,1013.2342,68.925
2019-10-01,17.154835,0.045343693,1015.19354,57.008064
2019-11-01,13.22618,29.432602,1014.87665,73.10833
2019-12-01,11.791242,118.87009,1017.3476,86.629036
2020-01-01,10.840886,49.88139,1022.525,85.98387
2020-02-01,13.0121355,0.0,1020.1802,78.18965
2020-03-01,12.643691,45.698513,1017.18066,80.78226
2020-04-01,14.941785,31.907679,1017.12665,81.73333
2020-05-01,17.878834,18.751823,1015.325,79.185486
2020-06-01,19.0263,1.4805571,1013.7867,74.225
2020-07-01,18.455791,0.0,1013.1484,70.008064
2020-08-01,20.481775,1.0092343,1012.16046,67.59677
2020-09-01,20.78315,0.0,1013.91833,68.13333
2020-10-01,19.56182,0.05312106,1014.725,66.120964
2020-11-01,12.982233,16.94432,1018.6483,79.75833
2020-12-01,11.255128,49.130283,1021.0815,83.185486
2021-01-01,11.46503,82.104294,1018.75726,81.66936
2021-02-01,12.616732,41.71501,1020.63574,80.78571
2021-03-01,12.330141,44.437813,1019.13873,77.451614
2021-04-01,13.736451,2.7716396,1016.79834,78.03333
2021-05-01,15.763696,0.298675,1015.6911,74.8871
2021-06-01,18.243647,0.10532683,1013.41833,75.875
2021-07-01,18.093811,0.0904849,1013.8258,71.33064
2021-08-01,18.915638,0.17571805,1012.396,72.67742
2021-09-01,18.80872,0.6837136,1013.95917,76.958336
2021-10-01,16.70769,169.02031,1015.9121,77.3871
2021-11-01,14.08543,34.42846,1020.2342,84.208336
2021-12-01,9.750755,228.5013,1016.2008,85.064514
2022-01-01,10.670427,13.193367,1021.6871,80.048386
2022-02-01,11.758833,1.5276498,1021.28125,74.125
2022-03-01,12.786632,16.658932,1019.0613,80.58064
2022-04-01,13.981542,39.41169,1017.6517,78.725
2022-05-01,15.795791,0.26451913,1016.0742,77.73387
2022-06-01,18.425777,5.0572643,1013.8567,76.7
2022-07-01,17.834873,0.60925007,1014.2887,80.104836
2022-08-01,19.566895,0.23118341,1013.4742,79.02419
2022-09-01,20.504824,7.3742533,1012.24335,75.65
2022-10-01,16.304554,0.13072121,1016.0387,77.52419
2022-11-01,11.319562,41.672005,1019.2583,70.558334
2022-12-01,9.505085,191.80238,1018.2161,82.508064
2023-01-01,11.093047,339.84335,1016.3355,76.798386
2023-02-01,9.578727,81.72665,1018.3107,74.96429
2023-03-01,10.586877,224.30542,1016.2831,79.451614
2023-04-01,13.269957,5.161536,1018.32,78.13333
2023-05-01,14.98155,25.733349,1014.5823,83.26613
2023-06-01,16.34559,0.116827495,1014.25586,79.225
2023-07-01,18.247608,0.0,1013.7443,73.46774
2023-08-01,20.030373,0.25412673,1013.7355,75.854836
2023-09-01,18.493042,1.468101,1014.3975,80.75833
2023-10-01,18.080128,7.007207,1014.39435,77.064514
2023-11-01,14.420425,36.053223,1017.5883,74.75833
2023-12-01,12.124967,111.465385,1018.6758,83.41129
2024-01-01,11.744232,133.32674,1018.9282,85.1129
2024-02-01,11.83426,161.65901,1015.2388,83.61207
2024-03-01,12.808742,99.403496,1015.9258,81.395164
2024-04-01,13.98479,33.640995,1016.8275,80.11667
2024-05-01,15.804227,26.36416,1014.3992,75.72581
2024-06-01,17.557589,0.0,1012.0308,69.066666
2024-07-01,19.802752,0.040279936,1013.004,69.34677
2024-08-01,18.78423,1.3809655,1015.0153,75.01613
2024-09-01,18.773497,0.0,1011.88416,75.183334
2024-10-01,18.939024,3.26129,1015.61774,71.395164
2024-11-01,13.1336155,92.87027,1017.85,80.316666
2024-12-01,12.162506,137.69485,1020.5065,85.951614
