time,precip_mm_per_day,temp_degC,city,co2_ppm,mei
2001-01-01,0.1115,25.15,mumbai_mh_india,370.76,-0.83
2001-02-01,0.0115,25.09,mumbai_mh_india,371.69,-0.86
2001-03-01,0.0929,26.74,mumbai_mh_india,372.63,-0.78
2001-04-01,0.2938,29.33,mumbai_mh_india,373.55,-0.55
2001-05-01,0.6041,30.74,mumbai_mh_india,374.03,-0.51
2001-06-01,6.524,29.72,mumbai_mh_india,373.4,-0.73
2001-07-01,8.5147,28.52,mumbai_mh_india,371.68,0.04
2001-08-01,7.4706,28.39,mumbai_mh_india,369.78,0.38
2001-09-01,6.1726,29.06,mumbai_mh_india,368.34,-0.06
2001-10-01,3.7488,29.46,mumbai_mh_india,368.61,-0.22
2001-11-01,0.4167,28.73,mumbai_mh_india,369.94,-0.28
2001-12-01,0.0863,26.79,mumbai_mh_india,371.42,0.06
2002-01-01,0.1938,24.39,mumbai_mh_india,372.7,0.09
2002-02-01,0.0503,26.38,mumbai_mh_india,373.37,-0.26
2002-03-01,0.0629,28.16,mumbai_mh_india,374.3,-0.2
2002-04-01,0.1908,29.97,mumbai_mh_india,375.19,-0.36
2002-05-01,0.7319,31.77,mumbai_mh_india,375.93,-0.14
2002-06-01,10.9375,30.1,mumbai_mh_india,375.69,0.34
2002-07-01,5.4721,29.71,mumbai_mh_india,374.16,0.44
2002-08-01,9.9218,27.99,mumbai_mh_india,372.03,1.01
2002-09-01,3.48,28.53,mumbai_mh_india,370.92,0.88
2002-10-01,1.32,30.3,mumbai_mh_india,370.73,0.84
2002-11-01,0.2262,28.47,mumbai_mh_india,372.43,0.84
2002-12-01,0.0227,26.72,mumbai_mh_india,373.98,0.91
2003-01-01,0.0737,26.04,mumbai_mh_india,375.07,0.82
2003-02-01,0.3847,26.35,mumbai_mh_india,375.82,0.63
2003-03-01,0.1632,27.61,mumbai_mh_india,376.64,0.53
2003-04-01,0.1586,29.51,mumbai_mh_india,377.92,-0.11
2003-05-01,0.0122,31.07,mumbai_mh_india,378.78,-0.61
2003-06-01,10.3293,30.21,mumbai_mh_india,378.46,-0.1
2003-07-01,13.8664,28.9601,mumbai_mh_india,376.88,0.01
2003-08-01,7.3056,28.7,mumbai_mh_india,374.57,0.05
2003-09-01,4.0863,28.4,mumbai_mh_india,373.34,0.18
2003-10-01,1.3054,29.56,mumbai_mh_india,373.31,0.28
2003-11-01,0.1555,29.16,mumbai_mh_india,374.84,0.3
2003-12-01,0.0408,26.23,mumbai_mh_india,376.17,0.14
2004-01-01,0.249,24.76,mumbai_mh_india,377.17,0.19
2004-02-01,0.0338,25.79,mumbai_mh_india,378.05,-0.05
2004-03-01,0.0727,28.64,mumbai_mh_india,379.06,-0.43
2004-04-01,0.0921,29.4,mumbai_mh_india,380.54,-0.23
2004-05-01,3.0568,31.13,mumbai_mh_india,380.8,-0.46
2004-06-01,8.3786,29.91,mumbai_mh_india,379.87,-0.39
2004-07-01,12.2044,28.87,mumbai_mh_india,377.65,0.46
2004-08-01,13.4507,27.9901,mumbai_mh_india,376.17,0.77
2004-09-01,8.1023,28.74,mumbai_mh_india,374.43,0.59
2004-10-01,0.9788,29.07,mumbai_mh_india,374.63,0.4
2004-11-01,0.5418,29.13,mumbai_mh_india,376.33,0.56
2004-12-01,0.023,26.47,mumbai_mh_india,377.68,0.48
2005-01-01,0.305,24.26,mumbai_mh_india,378.63,0.09
2005-02-01,0.0271,25.05,mumbai_mh_india,379.91,0.61
2005-03-01,0.1032,26.95,mumbai_mh_india,380.95,0.83
2005-04-01,0.5948,29.47,mumbai_mh_india,382.48,0.14
2005-05-01,0.6438,30.74,mumbai_mh_india,382.64,0.19
2005-06-01,11.1994,30.54,mumbai_mh_india,382.4,0.2
2005-07-01,15.6648,29.05,mumbai_mh_india,380.93,-0.0
2005-08-01,9.6002,28.31,mumbai_mh_india,378.93,0.01
2005-09-01,13.2327,28.1,mumbai_mh_india,376.89,-0.02
2005-10-01,2.2662,29.02,mumbai_mh_india,377.19,-0.66
2005-11-01,0.1514,27.45,mumbai_mh_india,378.54,-0.7
2005-12-01,0.0506,25.52,mumbai_mh_india,380.31,-0.7
2006-01-01,0.0322,25.08,mumbai_mh_india,381.58,-0.64
2006-02-01,0.0202,27.0,mumbai_mh_india,382.4,-0.48
2006-03-01,0.5246,27.16,mumbai_mh_india,382.86,-0.62
2006-04-01,0.0529,28.78,mumbai_mh_india,384.8,-0.84
2006-05-01,3.1715,30.86,mumbai_mh_india,385.22,-0.42
2006-06-01,8.8917,30.0601,mumbai_mh_india,384.24,-0.18
2006-07-01,19.5857,28.5,mumbai_mh_india,382.65,0.21
2006-08-01,16.6554,28.02,mumbai_mh_india,380.6,0.59
2006-09-01,8.9391,28.79,mumbai_mh_india,379.04,0.65
2006-10-01,3.3071,29.81,mumbai_mh_india,379.33,0.77
2006-11-01,1.2637,28.88,mumbai_mh_india,380.35,1.0
2006-12-01,0.0184,26.85,mumbai_mh_india,382.02,0.64
2007-01-01,0.0241,25.7,mumbai_mh_india,383.1,0.64
2007-02-01,0.0769,26.12,mumbai_mh_india,384.12,0.39
2007-03-01,0.0354,28.05,mumbai_mh_india,384.81,-0.19
2007-04-01,0.4034,29.77,mumbai_mh_india,386.73,-0.32
2007-05-01,0.3576,31.21,mumbai_mh_india,386.78,-0.41
2007-06-01,12.5804,30.54,mumbai_mh_india,386.33,-0.83
2007-07-01,13.5538,29.22,mumbai_mh_india,384.73,-0.75
2007-08-01,14.1246,28.57,mumbai_mh_india,382.24,-0.9
2007-09-01,10.3121,28.63,mumbai_mh_india,381.2,-1.06
2007-10-01,0.5012,29.29,mumbai_mh_india,381.37,-1.13
2007-11-01,0.3297,28.3,mumbai_mh_india,382.7,-1.12
2007-12-01,0.0893,26.78,mumbai_mh_india,384.19,-1.19
2008-01-01,0.0461,24.07,mumbai_mh_india,385.78,-1.06
2008-02-01,0.0914,23.74,mumbai_mh_india,386.06,-1.27
2008-03-01,0.5265,27.36,mumbai_mh_india,386.28,-1.52
2008-04-01,0.0705,29.17,mumbai_mh_india,387.33,-1.11
2008-05-01,0.1852,30.77,mumbai_mh_india,388.78,-0.99
2008-06-01,8.3692,29.66,mumbai_mh_india,387.99,-0.8
2008-07-01,11.6091,28.85,mumbai_mh_india,386.61,-0.78
2008-08-01,10.3572,28.1,mumbai_mh_india,384.32,-1.01
2008-09-01,13.5304,28.25,mumbai_mh_india,383.41,-1.02
2008-10-01,1.4681,29.4,mumbai_mh_india,383.22,-1.08
2008-11-01,0.2868,28.56,mumbai_mh_india,384.41,-0.98
2008-12-01,0.2419,27.37,mumbai_mh_india,385.79,-1.01
2009-01-01,0.0212,26.04,mumbai_mh_india,387.17,-1.01
2009-02-01,0.0118,26.27,mumbai_mh_india,387.7,-0.85
2009-03-01,0.1893,28.18,mumbai_mh_india,389.04,-0.95
2009-04-01,0.0589,30.31,mumbai_mh_india,389.76,-0.81
2009-05-01,0.5356,31.06,mumbai_mh_india,390.36,-0.72
2009-06-01,4.653,31.24,mumbai_mh_india,389.7,-0.05
2009-07-01,18.1232,28.59,mumbai_mh_india,388.24,0.56
2009-08-01,8.2578,29.25,mumbai_mh_india,386.29,0.56
2009-09-01,8.5129,29.31,mumbai_mh_india,384.95,0.42
2009-10-01,3.4786,29.13,mumbai_mh_india,384.64,0.56
2009-11-01,4.7096,28.53,mumbai_mh_india,386.23,1.04
2009-12-01,0.1456,26.94,mumbai_mh_india,387.63,0.95
2010-01-01,0.1329,26.2,mumbai_mh_india,388.91,0.93
2010-02-01,0.0065,26.21,mumbai_mh_india,390.41,1.28
2010-03-01,0.223,28.46,mumbai_mh_india,391.37,1.33
2010-04-01,0.0915,30.42,mumbai_mh_india,392.67,0.49
2010-05-01,0.21,32.11,mumbai_mh_india,393.21,-0.12
2010-06-01,12.4225,30.45,mumbai_mh_india,392.38,-1.29
2010-07-01,19.4672,28.73,mumbai_mh_india,390.41,-2.43
2010-08-01,15.129,28.75,mumbai_mh_india,388.54,-2.38
2010-09-01,7.169,28.79,mumbai_mh_india,387.03,-2.26
2010-10-01,5.6283,29.75,mumbai_mh_india,387.43,-2.16
2010-11-01,2.9425,29.41,mumbai_mh_india,388.87,-2.01
2010-12-01,0.0004,25.35,mumbai_mh_india,389.99,-1.86
2011-01-01,0.022,24.4271,mumbai_mh_india,391.5,-1.77
2011-02-01,0.062,25.5624,mumbai_mh_india,392.05,-1.59
2011-03-01,0.0192,28.0207,mumbai_mh_india,392.8,-1.75
2011-04-01,0.3695,28.925,mumbai_mh_india,393.44,-1.69
2011-05-01,0.2001,30.8814,mumbai_mh_india,394.41,-1.23
2011-06-01,9.2004,29.6205,mumbai_mh_india,393.95,-1.02
2011-07-01,19.3743,28.4976,mumbai_mh_india,392.72,-0.75
2011-08-01,11.1909,28.3556,mumbai_mh_india,390.33,-0.81
2011-09-01,6.5918,28.3914,mumbai_mh_india,389.28,-1.08
2011-10-01,3.8772,29.7629,mumbai_mh_india,389.19,-1.3
2011-11-01,0.0972,29.315,mumbai_mh_india,390.48,-1.14
2011-12-01,0.0212,26.7769,mumbai_mh_india,392.06,-1.18
2012-01-01,0.0508,23.6559,mumbai_mh_india,393.31,-1.07
2012-02-01,0.0121,25.1378,mumbai_mh_india,394.04,-0.68
2012-03-01,0.0165,26.4814,mumbai_mh_india,394.59,-0.58
2012-04-01,0.1837,29.4681,mumbai_mh_india,396.38,-0.38
2012-05-01,0.1557,30.5013,mumbai_mh_india,396.93,-0.32
2012-06-01,4.9893,30.495,mumbai_mh_india,395.91,-0.28
2012-07-01,12.3656,29.1805,mumbai_mh_india,394.56,0.34
2012-08-01,9.0192,28.6189,mumbai_mh_india,392.59,-0.02
2012-09-01,7.3798,28.4075,mumbai_mh_india,391.32,-0.29
2012-10-01,4.1158,29.5651,mumbai_mh_india,391.27,-0.19
2012-11-01,0.1626,27.7862,mumbai_mh_india,393.2,-0.03
2012-12-01,0.0414,26.9825,mumbai_mh_india,394.57,-0.03
2013-01-01,0.0476,24.375,mumbai_mh_india,395.78,-0.06
2013-02-01,0.2417,25.8612,mumbai_mh_india,397.03,-0.08
2013-03-01,0.028,27.4641,mumbai_mh_india,397.66,-0.12
2013-04-01,0.0528,28.6966,mumbai_mh_india,398.64,-0.35
2013-05-01,0.1601,31.0247,mumbai_mh_india,400.02,-0.68
2013-06-01,12.9349,28.9016,mumbai_mh_india,398.81,-1.14
2013-07-01,14.6441,27.6199,mumbai_mh_india,397.51,-0.79
2013-08-01,6.515,28.1192,mumbai_mh_india,395.39,-0.45
2013-09-01,8.7323,28.5875,mumbai_mh_india,393.72,-0.33
2013-10-01,1.9205,29.424,mumbai_mh_india,393.9,-0.13
2013-11-01,0.2855,28.5448,mumbai_mh_india,395.36,-0.16
2013-12-01,0.2566,26.0212,mumbai_mh_india,397.03,-0.34
2014-01-01,0.0625,24.5585,mumbai_mh_india,398.04,-0.5
2014-02-01,0.1491,24.4997,mumbai_mh_india,398.27,-0.42
