time,precip_mm_per_day,temp_degC,city,co2_ppm,mei
2001-01-01,1.6172,-1.36,columbus_oh_usa,370.76,-0.83
2001-02-01,2.422,2.6,columbus_oh_usa,371.69,-0.86
2001-03-01,2.1763,3.76,columbus_oh_usa,372.63,-0.78
2001-04-01,1.9838,13.61,columbus_oh_usa,373.55,-0.55
2001-05-01,5.2571,17.45,columbus_oh_usa,374.03,-0.51
2001-06-01,3.4356,21.12,columbus_oh_usa,373.4,-0.73
2001-07-01,5.7469,22.95,columbus_oh_usa,371.68,0.04
2001-08-01,3.1072,23.64,columbus_oh_usa,369.78,0.38
2001-09-01,2.0103,17.84,columbus_oh_usa,368.34,-0.06
2001-10-01,3.3215,13,columbus_oh_usa,368.61,-0.22
2001-11-01,2.8442,9.68,columbus_oh_usa,369.94,-0.28
2001-12-01,2.8528,4.37,columbus_oh_usa,371.42,0.06
2002-01-01,2.6386,2.2,columbus_oh_usa,372.7,0.09
2002-02-01,1.2949,2.74,columbus_oh_usa,373.37,-0.26
2002-03-01,5.4325,5.48,columbus_oh_usa,374.3,-0.2
2002-04-01,4.8137,12.81,columbus_oh_usa,375.19,-0.36
2002-05-01,5.2625,15.02,columbus_oh_usa,375.93,-0.14
2002-06-01,3.6751,22.98,columbus_oh_usa,375.69,0.34
2002-07-01,2.8421,25.15,columbus_oh_usa,374.16,0.44
2002-08-01,1.4905,24.54,columbus_oh_usa,372.03,1.01
2002-09-01,4.2809,21.24,columbus_oh_usa,370.92,0.88
2002-10-01,4.2053,12.42,columbus_oh_usa,370.73,0.84
2002-11-01,3.003,5.7,columbus_oh_usa,372.43,0.84
2002-12-01,3.2837,0.77,columbus_oh_usa,373.98,0.91
2003-01-01,1.8974,-4.31,columbus_oh_usa,375.07,0.82
2003-02-01,5.1526,-2.01,columbus_oh_usa,375.82,0.63
2003-03-01,2.0069,7.03,columbus_oh_usa,376.64,0.53
2003-04-01,3.0098,12.74,columbus_oh_usa,377.92,-0.11
2003-05-01,6.4034,16.6,columbus_oh_usa,378.78,-0.61
2003-06-01,4.4666,19.79,columbus_oh_usa,378.46,-0.1
2003-07-01,4.6928,23.04,columbus_oh_usa,376.88,0.01
2003-08-01,4.2711,23.48,columbus_oh_usa,374.57,0.05
2003-09-01,4.7507,18.11,columbus_oh_usa,373.34,0.18
2003-10-01,1.8498,11.97,columbus_oh_usa,373.31,0.28
2003-11-01,4.6037,9.03,columbus_oh_usa,374.84,0.3
2003-12-01,2.6776,1.57,columbus_oh_usa,376.17,0.14
2004-01-01,3.918,-2.75,columbus_oh_usa,377.17,0.19
2004-02-01,1.9392,0.47,columbus_oh_usa,378.05,-0.05
2004-03-01,3.5314,7.36,columbus_oh_usa,379.06,-0.43
2004-04-01,3.4386,11.82,columbus_oh_usa,380.54,-0.23
2004-05-01,6.661,19.5,columbus_oh_usa,380.8,-0.46
2004-06-01,3.2706,21.27,columbus_oh_usa,379.87,-0.39
2004-07-01,4.347,22.88,columbus_oh_usa,377.65,0.46
2004-08-01,2.9399,21.3401,columbus_oh_usa,376.17,0.77
2004-09-01,4.1497,19.91,columbus_oh_usa,374.43,0.59
2004-10-01,3.7866,13.16,columbus_oh_usa,374.63,0.4
2004-11-01,4.0755,8.53,columbus_oh_usa,376.33,0.56
2004-12-01,3.2113,1.1,columbus_oh_usa,377.68,0.48
2005-01-01,5.8692,0.56,columbus_oh_usa,378.63,0.09
2005-02-01,1.7968,2.12,columbus_oh_usa,379.91,0.61
2005-03-01,3.3225,3.45,columbus_oh_usa,380.95,0.83
2005-04-01,3.9311,12.73,columbus_oh_usa,382.48,0.14
2005-05-01,1.9032,14.77,columbus_oh_usa,382.64,0.19
