time,temperature_c,precipitation_mm,sea_level_pressure_hpa,relative_humidity_pct
2009-06-01,34.42317,19.501476,998.42236,21.491667
2009-07-01,32.31629,144.8974,997.3732,71.79032
2009-08-01,31.326298,195.65352,1001.9139,80.48387
2009-09-01,29.391808,183.12065,1005.074,76.916664
2009-10-01,25.83149,13.266277,1010.92065,56.870968
2009-11-01,20.169495,10.69002,1015.05164,48.516666
2009-12-01,16.168106,2.0513585,1017.0377,39.096775
2010-01-01,13.695626,7.421924,1018.0477,36.48387
2010-02-01,18.646114,25.337555,1014.94604,37.098213
2010-03-01,26.195791,0.42121595,1010.7929,29.983871
2010-04-01,32.500324,1.174051,1006.113,21.808332
2010-05-01,34.58554,4.6757183,1000.61743,19.758064
2010-06-01,34.18134,10.691513,998.6097,26.325
2010-07-01,31.211308,289.17206,999.9565,72.741936
2010-08-01,30.20704,359.9231,1002.34546,88.44355
2010-09-01,28.288876,271.24454,1005.26263,81.64167
2010-10-01,26.776884,5.1809735,1009.1645,58.387096
2010-11-01,21.239607,23.097824,1013.63934,48.541668
2010-12-01,14.979073,9.282009,1014.09937,39.524193
2011-01-01,12.864749,0.9663512,1015.9287,34.685482
2011-02-01,17.5823,46.062584,1014.2704,39.580357
2011-03-01,23.073616,4.8089232,1010.9626,27.790323
2011-04-01,27.788517,8.914719,1008.49634,24.433332
2011-05-01,33.20319,27.194366,1001.4113,21.387096
2011-06-01,32.440895,91.67873,995.69165,29.066668
2011-07-01,31.0495,125.97426,998.2926,68.854836
2011-08-01,30.265787,188.0126,1000.5613,92.564514
2011-09-01,29.502659,218.53711,1003.362,85.075
2011-10-01,26.455462,0.86707217,1010.9619,50.870968
2011-11-01,21.859243,0.0,1014.06366,35.525
2011-12-01,15.801959,2.1119895,1015.8306,36.16129
2012-01-01,13.697534,13.487558,1017.2384,44.330647
2012-02-01,16.784111,0.95011306,1015.0207,34.83621
2012-03-01,22.956915,5.0917745,1011.2184,23.903225
2012-04-01,28.477201,19.483572,1006.656,30.391666
2012-05-01,33.326416,3.482336,1002.5203,18.661291
2012-06-01,35.915512,15.682328,996.02466,25.233334
2012-07-01,32.288002,112.60086,996.04645,57.08871
2012-08-01,29.759499,344.32574,999.99194,84.95968
2012-09-01,29.464521,61.75864,1004.269,80.666664
2012-10-01,25.303125,6.8280616,1010.91547,41.85484
2012-11-01,19.701006,1.3111213,1013.14136,31.641666
2012-12-01,15.564157,4.618343,1015.0042,31.741936
2013-01-01,12.736973,33.76249,1016.7374,30.967741
2013-02-01,17.223743,91.20201,1015.18427,38.776787
2013-03-01,23.19765,12.680727,1010.91095,25.701612
2013-04-01,28.558939,9.918915,1005.32935,21.616667
2013-05-01,33.61677,0.6287222,998.88196,13.25
2013-06-01,32.54882,127.319885,996.86365,30.408333
2013-07-01,30.866714,319.9905,996.97095,53.491936
2013-08-01,29.718988,306.2862,1000.66223,80.991936
2013-09-01,29.88671,100.35715,1004.117,68.73333
2013-10-01,26.302284,56.562954,1009.5339,53.451614
2013-11-01,19.571003,1.5292101,1014.533,38.475
2013-12-01,15.823206,5.7268114,1015.2016,29.556452
2014-01-01,13.849314,20.232555,1018.43774,45.241936
2014-02-01,16.037176,53.299557,1014.03143,34.517857
