time,precip_mm
2000-01-01,41.47951
2000-02-01,23.83646
2000-03-01,120.77303
2000-04-01,40.452183
2000-05-01,94.84235
2000-06-01,68.06532
2000-07-01,11.231476
2000-08-01,16.821611
2000-09-01,41.52279
2000-10-01,116.025986
2000-11-01,162.12894
2000-12-01,52.76669
2001-01-01,71.01405
2001-02-01,35.110954
2001-03-01,61.3045
2001-04-01,16.446009
2001-05-01,68.10455
2001-06-01,78.82475
2001-07-01,61.23072
2001-08-01,152.30939
2001-09-01,76.01327
2001-10-01,48.081184
2001-11-01,102.081764
2001-12-01,44.13973
2002-01-01,27.642982
2002-02-01,23.520184
2002-03-01,48.89585
2002-04-01,51.329807
2002-05-01,70.43523
2002-06-01,122.51439
2002-07-01,145.98328
2002-08-01,56.356796
2002-09-01,187.88074
2002-10-01,324.29544
2002-11-01,122.55989
2002-12-01,99.86986
2003-01-01,45.01152
2003-02-01,48.823845
2003-03-01,56.84678
2003-04-01,3.4040473
2003-05-01,0.9173757
2003-06-01,67.05891
2003-07-01,148.979
2003-08-01,35.463432
2003-09-01,292.92117
2003-10-01,84.98527
2003-11-01,22.673876
2003-12-01,12.722616
2004-01-01,35.213715
2004-02-01,20.01885
2004-03-01,48.361267
2004-04-01,248.43561
2004-05-01,189.25494
2004-06-01,62.23139
2004-07-01,26.15445
2004-08-01,29.399971
2004-09-01,199.21568
2004-10-01,75.21298
2004-11-01,106.3709
2004-12-01,13.734139
2005-01-01,27.92487
2005-02-01,75.10106
2005-03-01,78.8635
2005-04-01,5.712352
2005-05-01,43.024014
2005-06-01,20.983595
2005-07-01,45.290382
2005-08-01,12.512829
2005-09-01,88.24604
2005-10-01,79.13885
2005-11-01,81.94242
2005-12-01,10.201855
2006-01-01,11.603212
2006-02-01,4.0044923
2006-03-01,12.454114
2006-04-01,1.9765229
2006-05-01,42.326523
2006-06-01,82.11075
2006-07-01,131.22905
2006-08-01,15.345424
2006-09-01,231.16951
2006-10-01,70.0499
2006-11-01,6.0202637
2006-12-01,60.952637
2007-01-01,133.38783
2007-02-01,3.4740324
2007-03-01,64.243484
2007-04-01,50.113564
2007-05-01,62.537056
2007-06-01,46.199757
2007-07-01,312.76303
2007-08-01,82.39896
2007-09-01,83.42769
2007-10-01,53.586296
2007-11-01,15.410599
2007-12-01,3.884045
2008-01-01,69.96237
2008-02-01,3.213312
2008-03-01,34.41968
2008-04-01,123.75006
2008-05-01,20.400496
2008-06-01,18.003132
2008-07-01,186.3147
2008-08-01,99.23789
2008-09-01,41.74381
2008-10-01,28.297873
2008-11-01,18.152805
2008-12-01,9.602737
2009-01-01,3.1692853
2009-02-01,3.1383715
2009-03-01,30.883709
2009-04-01,3.4659295
2009-05-01,43.684814
2009-06-01,7.5363054
2009-07-01,13.633316
2009-08-01,23.946552
2009-09-01,172.30927
2009-10-01,120.22393
2009-11-01,94.14912
2009-12-01,124.24603
2010-01-01,97.406525
2010-02-01,106.65014
2010-03-01,28.839664
2010-04-01,52.1678
2010-05-01,14.104118
2010-06-01,111.814384
2010-07-01,181.49963
2010-08-01,16.74652
2010-09-01,394.67606
2010-10-01,1.4934298
2010-11-01,29.575523
2010-12-01,7.305891
2011-01-01,108.2142
2011-02-01,3.6879172
2011-03-01,6.4103584
2011-04-01,0.28283772
2011-05-01,40.206345
2011-06-01,19.5409
2011-07-01,1.8213334
2011-08-01,8.001185
2011-09-01,23.815489
2011-10-01,55.79061
2011-11-01,6.7418284
2011-12-01,28.094688
2012-01-01,13.055232
2012-02-01,99.75824
2012-03-01,35.21598
2012-04-01,87.85383
2012-05-01,91.81361
2012-06-01,54.451893
2012-07-01,34.849636
2012-08-01,3.2478898
2012-09-01,103.2343
2012-10-01,2.8708878
2012-11-01,28.812176
2012-12-01,20.137814
2013-01-01,39.272823
2013-02-01,38.900066
2013-03-01,1.6404679
2013-04-01,62.335537
2013-05-01,28.198069
2013-06-01,28.25898
2013-07-01,77.391624
2013-08-01,50.824886
2013-09-01,190.08133
2013-10-01,66.0719
2013-11-01,48.934097
2013-12-01,7.648262
2014-01-01,19.686108
2014-02-01,10.614323
2014-03-01,33.939255
2014-04-01,7.315739
2014-05-01,77.32091
2014-06-01,20.340881
2014-07-01,22.881525
2014-08-01,49.315205
2014-09-01,160.37415
2014-10-01,77.981064
2014-11-01,96.74351
2014-12-01,27.251064
2015-01-01,49.383663
2015-02-01,33.262028
2015-03-01,129.26308
2015-04-01,142.64696
2015-05-01,300.17438
2015-06-01,76.22082
2015-07-01,33.91291
2015-08-01,32.566055
2015-09-01,92.364265
2015-10-01,133.92319
2015-11-01,39.632675
2015-12-01,19.703903
2016-01-01,43.37056
2016-02-01,4.2833185
2016-03-01,128.45116
2016-04-01,39.599182
2016-05-01,215.0996
2016-06-01,63.236397
2016-07-01,5.647291
2016-08-01,66.66634
2016-09-01,141.53862
2016-10-01,13.948889
2016-11-01,61.510204
2016-12-01,25.896858
2017-01-01,8.303605
2017-02-01,43.887337
2017-03-01,95.40974
2017-04-01,37.922497
2017-05-01,67.85378
2017-06-01,104.420204
2017-07-01,12.8686695
2017-08-01,112.548416
2017-09-01,55.6246
2017-10-01,27.006475
2017-11-01,26.934923
2017-12-01,84.98151
2018-01-01,42.470703
2018-02-01,14.368061
2018-03-01,41.130833
2018-04-01,7.0203977
2018-05-01,21.029867
2018-06-01,294.11847
2018-07-01,99.85211
2018-08-01,36.59365
2018-09-01,494.38498
2018-10-01,105.44595
2018-11-01,86.32707
2018-12-01,18.074173
2019-01-01,47.00821
2019-02-01,27.250587
2019-03-01,15.748299
2019-04-01,77.11604
2019-05-01,112.15982
2019-06-01,100.26623
2019-07-01,9.487595
2019-08-01,10.909775
2019-09-01,111.03314
2019-10-01,51.081154
2019-11-01,56.504013
2019-12-01,61.510967
2020-01-01,26.469635
2020-02-01,6.3119087
2020-03-01,8.583458
2020-04-01,27.478722
2020-05-01,139.88927
2020-06-01,176.27286
2020-07-01,90.53703
2020-08-01,14.306425
2020-09-01,80.84721
2020-10-01,4.11493
2020-11-01,61.996807
2020-12-01,47.05134
2021-01-01,68.26677
2021-02-01,11.254904
2021-03-01,24.651487
2021-04-01,36.341576
2021-05-01,350.46747
2021-06-01,123.051636
2021-07-01,325.5715
2021-08-01,35.57303
2021-09-01,92.25374
2021-10-01,162.34378
2021-11-01,29.077604
2021-12-01,11.575194
2022-01-01,41.110214
2022-02-01,41.589745
2022-03-01,7.7241015
2022-04-01,6.313069
2022-05-01,65.37698
2022-06-01,8.186888
2022-07-01,8.254107
2022-08-01,229.31932
2022-09-01,147.19086
2022-10-01,28.20697
2022-11-01,152.64311
2022-12-01,28.615322
2023-01-01,13.798467
2023-02-01,8.680224
2023-03-01,15.105554
2023-04-01,156.01164
2023-05-01,39.311394
2023-06-01,30.398802
2023-07-01,37.495815
2023-08-01,92.070335
2023-09-01,17.106413
2023-10-01,102.95164
2023-11-01,109.11114
2023-12-01,44.337578
2024-01-01,94.507324
2024-02-01,32.80056
2024-03-01,42.3564
2024-04-01,13.793778
2024-05-01,41.84597
2024-06-01,143.5822
2024-07-01,167.93262
2024-08-01,29.608646
2024-09-01,192.92915
2024-10-01,21.499403
2024-11-01,13.362159
2024-12-01,19.027153
