time,rhum_percent
2000-01-01,81.007744
2000-02-01,83.61104
2000-03-01,78.01613
2000-04-01,75.841
2000-05-01,83.36226
2000-06-01,77.49133
2000-07-01,73.45936
2000-08-01,76.29
2000-09-01,64.925
2000-10-01,64.74935
2000-11-01,76.949
2000-12-01,79.59613
2001-01-01,87.65226
2001-02-01,82.58893
2001-03-01,81.508064
2001-04-01,80.683334
2001-05-01,83.97549
2001-06-01,79.25
2001-07-01,71.08
2001-08-01,74.82162
2001-09-01,72.28333
2001-10-01,70.4429
2001-11-01,72.791336
2001-12-01,79.26452
2002-01-01,77.645164
2002-02-01,78.21429
2002-03-01,78.41936
2002-04-01,80.39167
2002-05-01,78.23387
2002-06-01,81.65
2002-07-01,69.16936
2002-08-01,71.935486
2002-09-01,64.025
2002-10-01,68.65323
2002-11-01,72.925
2002-12-01,76.34677
2003-01-01,69.04032
2003-02-01,75.6875
2003-03-01,79.75
2003-04-01,76.03333
2003-05-01,79.185486
2003-06-01,71.75
2003-07-01,77.064514
2003-08-01,80.09677
2003-09-01,72.71667
2003-10-01,65.30645
2003-11-01,80.1
2003-12-01,84.91936
2004-01-01,77.80645
2004-02-01,87.543106
2004-03-01,83.32258
2004-04-01,74.13333
2004-05-01,85.80645
2004-06-01,81.6
2004-07-01,77.41129
2004-08-01,75.40323
2004-09-01,66.63333
2004-10-01,72.22581
2004-11-01,74.941666
2004-12-01,79.03226
2005-01-01,85.98387
2005-02-01,84.70536
2005-03-01,78.44355
2005-04-01,71.683334
2005-05-01,73.75
2005-06-01,78.833336
2005-07-01,71.17742
2005-08-01,65.564514
2005-09-01,70.775
2005-10-01,69.685486
2005-11-01,76.01667
2005-12-01,83.620964
2006-01-01,88.879036
2006-02-01,73.64286
2006-03-01,80.370964
2006-04-01,75.025
2006-05-01,82.879036
2006-06-01,75.183334
2006-07-01,77.23387
2006-08-01,72.185486
2006-09-01,78.3
2006-10-01,70.96774
2006-11-01,77.36667
2006-12-01,81.44355
2007-01-01,80.0
2007-02-01,69.8125
2007-03-01,79.741936
2007-04-01,75.89167
2007-05-01,71.69355
2007-06-01,69.325
2007-07-01,65.6129
2007-08-01,79.298386
2007-09-01,66.4
2007-10-01,74.685486
2007-11-01,71.59167
2007-12-01,88.22581
2008-01-01,83.55645
2008-02-01,82.63793
2008-03-01,82.935486
2008-04-01,81.625
2008-05-01,74.51613
2008-06-01,79.75833
2008-07-01,78.28226
2008-08-01,74.02419
2008-09-01,79.3
2008-10-01,70.55645
2008-11-01,72.925
2008-12-01,81.17742
2009-01-01,76.3871
2009-02-01,81.75893
2009-03-01,78.201614
2009-04-01,75.208336
2009-05-01,71.645164
2009-06-01,76.34167
2009-07-01,72.96774
2009-08-01,77.379036
2009-09-01,70.675
2009-10-01,80.79032
2009-11-01,76.00833
2009-12-01,80.145164
2010-01-01,84.08064
2010-02-01,82.54464
2010-03-01,79.685486
2010-04-01,74.75
2010-05-01,79.120964
2010-06-01,83.96667
2010-07-01,80.854836
2010-08-01,77.98387
2010-09-01,72.316666
2010-10-01,64.52419
2010-11-01,77.8
2010-12-01,88.798386
2011-01-01,84.6371
2011-02-01,82.875
2011-03-01,84.935486
2011-04-01,82.71667
2011-05-01,82.620964
2011-06-01,79.75
2011-07-01,74.758064
2011-08-01,71.16936
2011-09-01,75.65833
2011-10-01,69.620964
2011-11-01,80.583336
2011-12-01,80.92742
2012-01-01,79.25
2012-02-01,79.155174
2012-03-01,82.3871
2012-04-01,73.98333
2012-05-01,73.34677
2012-06-01,63.591667
2012-07-01,70.72581
2012-08-01,64.120964
2012-09-01,65.65833
2012-10-01,74.16936
2012-11-01,74.275
2012-12-01,82.895164
2013-01-01,71.58064
2013-02-01,76.79464
2013-03-01,70.76613
2013-04-01,74.35
2013-05-01,75.84677
2013-06-01,82.71667
2013-07-01,78.241936
2013-08-01,68.870964
2013-09-01,69.15
2013-10-01,71.69355
2013-11-01,78.475
2013-12-01,79.28226
2014-01-01,73.6371
2014-02-01,71.25
2014-03-01,76.645164
2014-04-01,76.691666
2014-05-01,78.620964
2014-06-01,80.78333
2014-07-01,73.814514
2014-08-01,80.59677
2014-09-01,71.13333
2014-10-01,73.23387
2014-11-01,78.25
2014-12-01,84.33064
2015-01-01,78.935486
2015-02-01,77.36607
2015-03-01,72.951614
2015-04-01,68.933334
2015-05-01,79.41936
2015-06-01,81.433334
2015-07-01,70.370964
2015-08-01,66.42742
2015-09-01,74.1
2015-10-01,66.19355
2015-11-01,76.35
2015-12-01,84.25
2016-01-01,77.895164
2016-02-01,79.32758
2016-03-01,79.21774
2016-04-01,76.53333
2016-05-01,72.16129
2016-06-01,69.98333
2016-07-01,76.508064
2016-08-01,75.814514
2016-09-01,73.791664
2016-10-01,76.77419
2016-11-01,74.34167
2016-12-01,75.15323
2017-01-01,80.59677
2017-02-01,73.26786
2017-03-01,73.33064
2017-04-01,74.35
2017-05-01,72.548386
2017-06-01,71.34167
2017-07-01,74.1129
2017-08-01,66.870964
2017-09-01,66.34167
2017-10-01,73.1371
2017-11-01,69.15
2017-12-01,69.1371
2018-01-01,75.42742
2018-02-01,76.52679
2018-03-01,69.34677
2018-04-01,67.53333
2018-05-01,81.15323
2018-06-01,77.21667
2018-07-01,70.629036
2018-08-01,81.78226
2018-09-01,72.725
2018-10-01,74.129036
2018-11-01,79.025
2018-12-01,82.185486
2019-01-01,76.370964
2019-02-01,83.23214
2019-03-01,71.879036
2019-04-01,74.95
2019-05-01,80.67742
2019-06-01,76.1
2019-07-01,74.51613
2019-08-01,68.3871
2019-09-01,75.708336
2019-10-01,71.701614
2019-11-01,75.55
2019-12-01,79.95968
2020-01-01,83.1129
2020-02-01,77.163795
2020-03-01,81.33871
2020-04-01,73.40833
2020-05-01,78.16936
2020-06-01,73.65833
2020-07-01,65.76613
2020-08-01,66.48387
2020-09-01,69.666664
2020-10-01,69.145164
2020-11-01,72.025
2020-12-01,81.44355
2021-01-01,86.685486
2021-02-01,80.50893
2021-03-01,75.129036
2021-04-01,76.98333
2021-05-01,74.758064
2021-06-01,78.85833
2021-07-01,72.79032
2021-08-01,71.69355
2021-09-01,64.65833
2021-10-01,79.58871
2021-11-01,68.708336
2021-12-01,80.46774
2022-01-01,80.70968
2022-02-01,82.14286
2022-03-01,79.46774
2022-04-01,76.34167
2022-05-01,81.51613
2022-06-01,64.53333
2022-07-01,67.26613
2022-08-01,69.04032
2022-09-01,66.916664
2022-10-01,59.95968
2022-11-01,68.96667
2022-12-01,78.42742
2023-01-01,85.30645
2023-02-01,73.41071
2023-03-01,76.30645
2023-04-01,74.725
2023-05-01,63.58871
2023-06-01,59.9
2023-07-01,71.79032
2023-08-01,65.90323
2023-09-01,67.90833
2023-10-01,70.201614
2023-11-01,69.85833
2023-12-01,83.80645
2024-01-01,84.15323
2024-02-01,76.844826
2024-03-01,77.23387
2024-04-01,78.683334
2024-05-01,80.52419
2024-06-01,77.46667
2024-07-01,76.58871
2024-08-01,70.629036
2024-09-01,59.125
2024-10-01,53.072582
2024-11-01,82.333336
2024-12-01,81.064514
