time,temp_c
2000-01-01,17.218342
2000-02-01,20.05462
2000-03-01,21.987707
2000-04-01,22.928555
2000-05-01,26.91736
2000-06-01,28.073973
2000-07-01,29.697449
2000-08-01,29.496008
2000-09-01,27.98162
2000-10-01,23.526003
2000-11-01,17.67977
2000-12-01,11.968168
2001-01-01,12.887046
2001-02-01,17.639576
2001-03-01,16.280949
2001-04-01,23.74655
2001-05-01,25.641024
2001-06-01,28.612371
2001-07-01,29.306393
2001-08-01,29.498415
2001-09-01,26.922443
2001-10-01,23.216223
2001-11-01,19.751045
2001-12-01,15.693241
2002-01-01,15.633725
2002-02-01,13.393012
2002-03-01,18.804993
2002-04-01,25.088488
2002-05-01,26.541908
2002-06-01,28.524263
2002-07-01,29.019537
2002-08-01,29.744959
2002-09-01,27.086699
2002-10-01,24.118834
2002-11-01,17.070509
2002-12-01,14.883259
2003-01-01,12.192559
2003-02-01,14.197682
2003-03-01,17.69867
2003-04-01,22.516354
2003-05-01,27.432022
2003-06-01,28.395613
2003-07-01,28.402363
2003-08-01,28.986229
2003-09-01,26.393288
2003-10-01,23.586546
2003-11-01,20.298773
2003-12-01,15.26297
2004-01-01,15.270924
2004-02-01,14.673008
2004-03-01,21.463629
2004-04-01,21.944195
2004-05-01,24.88544
2004-06-01,28.115715
2004-07-01,28.807243
2004-08-01,29.295723
2004-09-01,27.61316
2004-10-01,26.863194
2004-11-01,19.944529
2004-12-01,14.140405
2005-01-01,16.063654
2005-02-01,17.174719
2005-03-01,19.14303
2005-04-01,22.614555
2005-05-01,25.399736
2005-06-01,28.406769
2005-07-01,29.67867
2005-08-01,30.595703
2005-09-01,29.403637
2005-10-01,23.671125
2005-11-01,20.061255
2005-12-01,14.770608
2006-01-01,17.425068
2006-02-01,16.811682
2006-03-01,22.00221
2006-04-01,25.508762
2006-05-01,27.265959
2006-06-01,28.261862
2006-07-01,28.803085
2006-08-01,30.2318
2006-09-01,27.710707
2006-10-01,25.094263
2006-11-01,19.988249
2006-12-01,15.276213
2007-01-01,12.116958
2007-02-01,15.437789
2007-03-01,20.64165
2007-04-01,20.968401
2007-05-01,25.315283
2007-06-01,27.930202
2007-07-01,27.876963
2007-08-01,29.172358
2007-09-01,27.861143
2007-10-01,24.436237
2007-11-01,19.342987
2007-12-01,16.811892
2008-01-01,13.636077
2008-02-01,18.362476
2008-03-01,19.32424
2008-04-01,22.856007
2008-05-01,26.921299
2008-06-01,28.84539
2008-07-01,27.975538
2008-08-01,28.86551
2008-09-01,27.119286
2008-10-01,23.176146
2008-11-01,19.52439
2008-12-01,15.614096
2009-01-01,15.049751
