time,rhum_percent
2019-08-01,90.548386
2019-09-01,90.34167
2019-10-01,60.096775
2019-11-01,47.4
2019-12-01,41.080647
2020-01-01,45.637096
2020-02-01,30.801723
2020-03-01,34.072582
2020-04-01,28.975
2020-05-01,24.725807
2020-06-01,29.966667
2020-07-01,67.69355
2020-08-01,93.201614
2020-09-01,74.566666
2020-10-01,41.14516
2020-11-01,39.125
2020-12-01,30.161291
2021-01-01,37.35484
2021-02-01,26.553572
2021-03-01,23.830645
2021-04-01,22.966667
2021-05-01,31.524193
2021-06-01,25.95
2021-07-01,68.379036
2021-08-01,70.84677
2021-09-01,86.208336
2021-10-01,62.274193
2021-11-01,39.491665
2021-12-01,36.04032
2022-01-01,41.153225
2022-02-01,27.464285
2022-03-01,24.443548
2022-04-01,18.791666
2022-05-01,20.887096
2022-06-01,29.191668
2022-07-01,87.67742
2022-08-01,92.22581
2022-09-01,85.825
2022-10-01,64.370964
2022-11-01,41.258335
2022-12-01,34.48387
2023-01-01,32.29032
2023-02-01,25.142857
2023-03-01,23.975807
2023-04-01,23.4
2023-05-01,31.016129
2023-06-01,46.075
2023-07-01,89.854836
2023-08-01,87.19355
2023-09-01,88.916664
2023-10-01,55.048386
2023-11-01,45.925
2023-12-01,40.66129
2024-01-01,33.572582
2024-02-01,27.275862
2024-03-01,26.548388
2024-04-01,19.891666
2024-05-01,18.07258
2024-06-01,41.45
2024-07-01,90.83871
2024-08-01,92.47581
2024-09-01,91.316666
2024-10-01,69.395164
2024-11-01,40.233334
2024-12-01,46.596775
