time,temp_c
2022-02-01,11.758833
2022-03-01,12.786632
2022-04-01,13.981542
2022-05-01,15.795791
2022-06-01,18.425777
2022-07-01,17.834873
2022-08-01,19.566895
2022-09-01,20.504824
2022-10-01,16.304554
2022-11-01,11.319562
2022-12-01,9.505085
2023-01-01,11.093047
2023-02-01,9.578727
2023-03-01,10.586877
2023-04-01,13.269957
2023-05-01,14.98155
2023-06-01,16.34559
2023-07-01,18.247608
2023-08-01,20.030373
2023-09-01,18.493042
2023-10-01,18.080128
2023-11-01,14.420425
2023-12-01,12.124967
2024-01-01,11.744232
2024-02-01,11.83426
2024-03-01,12.808742
2024-04-01,13.98479
2024-05-01,15.804227
2024-06-01,17.557589
2024-07-01,19.802752
2024-08-01,18.78423
2024-09-01,18.773497
2024-10-01,18.939024
2024-11-01,13.1336155
2024-12-01,12.162506
