time,rhum_percent
2000-01-01,85.379036
2000-02-01,87.32655
2000-03-01,76.951614
2000-04-01,75.85
2000-05-01,73.41871
2000-06-01,65.925
2000-07-01,69.685486
2000-08-01,64.15323
2000-09-01,69.458
2000-10-01,76.257744
2000-11-01,80.38333
2000-12-01,80.491936
2001-01-01,82.42645
2001-02-01,86.41
2001-03-01,85.879036
2001-04-01,84.391335
2001-05-01,66.298065
2001-06-01,64.791664
2001-07-01,67.9029
2001-08-01,70.94355
2001-09-01,70.691666
2001-10-01,70.17742
2001-11-01,83.591
2001-12-01,87.23258
2002-01-01,84.51613
2002-02-01,87.0
2002-03-01,79.854836
2002-04-01,81.15833
2002-05-01,74.491936
2002-06-01,69.325
2002-07-01,67.95968
2002-08-01,66.0
2002-09-01,63.416668
2002-10-01,65.54032
2002-11-01,69.00833
2002-12-01,86.758064
2003-01-01,89.33064
2003-02-01,82.66071
2003-03-01,82.78226
2003-04-01,85.74167
2003-05-01,76.76613
2003-06-01,70.75833
2003-07-01,63.830647
2003-08-01,71.1371
2003-09-01,63.35
2003-10-01,64.94355
2003-11-01,78.63333
2003-12-01,87.145164
2004-01-01,87.145164
2004-02-01,85.88793
2004-03-01,85.048386
2004-04-01,77.525
2004-05-01,76.3871
2004-06-01,72.28333
2004-07-01,73.185486
2004-08-01,69.65323
2004-09-01,63.066666
2004-10-01,75.91129
2004-11-01,78.075
2004-12-01,82.185486
2005-01-01,89.048386
2005-02-01,87.22321
2005-03-01,84.83871
2005-04-01,83.791664
2005-05-01,84.30645
2005-06-01,78.51667
2005-07-01,70.01613
2005-08-01,68.314514
2005-09-01,69.9
2005-10-01,72.58871
2005-11-01,73.058334
2005-12-01,85.17742
2006-01-01,85.620964
2006-02-01,84.1875
2006-03-01,86.92742
2006-04-01,88.84167
2006-05-01,79.21774
2006-06-01,73.14167
2006-07-01,63.25
2006-08-01,69.41129
2006-09-01,60.375
2006-10-01,67.701614
2006-11-01,79.65833
2006-12-01,76.8629
2007-01-01,76.991936
2007-02-01,85.625
2007-03-01,83.5
2007-04-01,79.525
2007-05-01,71.48387
2007-06-01,69.25833
2007-07-01,74.548386
2007-08-01,68.78226
2007-09-01,72.59167
2007-10-01,73.42742
2007-11-01,72.225
2007-12-01,76.04032
2008-01-01,79.91936
2008-02-01,82.51724
2008-03-01,77.70968
2008-04-01,71.066666
2008-05-01,70.96774
2008-06-01,61.883335
2008-07-01,67.66129
2008-08-01,67.258064
2008-09-01,64.816666
2008-10-01,64.314514
2008-11-01,78.13333
2008-12-01,76.870964
2009-01-01,74.298386
2009-02-01,83.20536
2009-03-01,80.01613
2009-04-01,72.28333
2009-05-01,74.57258
2009-06-01,72.28333
2009-07-01,65.19355
2009-08-01,68.28226
2009-09-01,65.5
2009-10-01,73.80645
2009-11-01,71.291664
2009-12-01,81.01613
2010-01-01,86.09677
2010-02-01,87.84821
2010-03-01,78.08871
2010-04-01,80.316666
2010-05-01,76.879036
2010-06-01,72.86667
2010-07-01,71.51613
2010-08-01,71.241936
2010-09-01,70.14167
2010-10-01,75.33064
2010-11-01,75.15833
2010-12-01,86.185486
2011-01-01,80.48387
2011-02-01,76.41964
2011-03-01,86.27419
2011-04-01,79.8
2011-05-01,77.814514
2011-06-01,76.825
2011-07-01,72.048386
2011-08-01,73.33871
2011-09-01,69.61667
2011-10-01,74.854836
2011-11-01,76.325
2011-12-01,68.30645
2012-01-01,74.03226
2012-02-01,78.32758
2012-03-01,82.32258
2012-04-01,80.316666
2012-05-01,72.314514
2012-06-01,70.71667
2012-07-01,71.41936
2012-08-01,63.580647
2012-09-01,65.14167
2012-10-01,73.814514
2012-11-01,77.058334
2012-12-01,82.0
2013-01-01,75.17742
2013-02-01,77.63393
2013-03-01,83.314514
2013-04-01,74.375
2013-05-01,70.241936
2013-06-01,71.00833
2013-07-01,68.27419
2013-08-01,68.44355
2013-09-01,69.15
2013-10-01,60.572582
2013-11-01,66.575
2013-12-01,66.97581
2014-01-01,70.72581
2014-02-01,85.83036
2014-03-01,81.29032
2014-04-01,78.38333
2014-05-01,66.379036
2014-06-01,65.583336
2014-07-01,69.870964
2014-08-01,67.951614
2014-09-01,68.75833
2014-10-01,65.3629
2014-11-01,72.13333
2014-12-01,85.76613
2015-01-01,80.129036
2015-02-01,83.625
2015-03-01,80.97581
2015-04-01,73.85833
2015-05-01,78.69355
2015-06-01,69.225
2015-07-01,74.69355
2015-08-01,74.46774
2015-09-01,64.666664
2015-10-01,73.66129
2015-11-01,74.575
2015-12-01,80.564514
2016-01-01,87.51613
2016-02-01,80.905174
2016-03-01,85.1129
2016-04-01,78.166664
2016-05-01,77.33064
2016-06-01,67.8
2016-07-01,67.258064
2016-08-01,71.91129
2016-09-01,66.03333
2016-10-01,77.28226
2016-11-01,78.191666
2016-12-01,79.370964
2017-01-01,84.02419
2017-02-01,86.05357
2017-03-01,84.17742
2017-04-01,80.96667
2017-05-01,75.3871
2017-06-01,73.10833
2017-07-01,65.435486
2017-08-01,70.53226
2017-09-01,67.558334
2017-10-01,61.51613
2017-11-01,81.75833
2017-12-01,63.491936
2018-01-01,83.83871
2018-02-01,73.49107
2018-03-01,81.77419
2018-04-01,81.025
2018-05-01,77.90323
2018-06-01,70.3
2018-07-01,68.120964
2018-08-01,69.5
2018-09-01,68.14167
2018-10-01,68.8871
2018-11-01,66.7
2018-12-01,76.91129
2019-01-01,80.58871
2019-02-01,76.40179
2019-03-01,82.048386
2019-04-01,80.925
2019-05-01,81.41936
2019-06-01,65.51667
2019-07-01,70.008064
2019-08-01,72.201614
2019-09-01,68.925
2019-10-01,57.008064
2019-11-01,73.10833
2019-12-01,86.629036
2020-01-01,85.98387
2020-02-01,78.18965
2020-03-01,80.78226
2020-04-01,81.73333
2020-05-01,79.185486
2020-06-01,74.225
2020-07-01,70.008064
2020-08-01,67.59677
2020-09-01,68.13333
2020-10-01,66.120964
2020-11-01,79.75833
2020-12-01,83.185486
2021-01-01,81.66936
2021-02-01,80.78571
2021-03-01,77.451614
2021-04-01,78.03333
