time,slp_hpa
2000-01-01,1020.37384
2000-02-01,1019.0755
2000-03-01,1016.60583
2000-04-01,1015.19336
2000-05-01,1011.19775
2000-06-01,1014.0153
2000-07-01,1014.5984
2000-08-01,1015.8045
2000-09-01,1015.8877
2000-10-01,1021.1471
2000-11-01,1015.70667
2000-12-01,1023.06805
2001-01-01,1018.8084
2001-02-01,1021.6939
2001-03-01,1017.4287
2001-04-01,1015.881
2001-05-01,1013.0803
2001-06-01,1015.076
2001-07-01,1014.7826
2001-08-01,1015.1361
2001-09-01,1017.36566
2001-10-01,1015.55615
2001-11-01,1018.0673
2001-12-01,1016.12195
2002-01-01,1015.03906
2002-02-01,1017.1011
2002-03-01,1018.51
2002-04-01,1017.15137
2002-05-01,1016.3529
2002-06-01,1014.1903
2002-07-01,1015.87354
2002-08-01,1017.11224
2002-09-01,1016.003
2002-10-01,1018.78644
2002-11-01,1015.202
2002-12-01,1016.78033
2003-01-01,1020.39325
2003-02-01,1018.32214
2003-03-01,1014.2884
2003-04-01,1014.98
2003-05-01,1013.28516
2003-06-01,1013.2553
2003-07-01,1013.7974
2003-08-01,1016.4561
2003-09-01,1016.27936
2003-10-01,1014.7342
2003-11-01,1016.44836
2003-12-01,1017.4745
2004-01-01,1019.9022
2004-02-01,1021.6404
2004-03-01,1018.72095
2004-04-01,1015.36237
2004-05-01,1013.6126
2004-06-01,1014.9037
2004-07-01,1013.7271
2004-08-01,1015.4687
2004-09-01,1019.19366
2004-10-01,1014.84033
2004-11-01,1020.31165
2004-12-01,1017.43744
2005-01-01,1024.0619
2005-02-01,1020.1925
2005-03-01,1013.4136
2005-04-01,1014.1503
2005-05-01,1015.08777
2005-06-01,1012.7137
2005-07-01,1015.26324
2005-08-01,1015.0768
2005-09-01,1017.36035
2005-10-01,1018.2342
2005-11-01,1013.012
2005-12-01,1016.6484
2006-01-01,1013.14514
2006-02-01,1017.8993
2006-03-01,1018.8129
2006-04-01,1013.664
2006-05-01,1010.6561
2006-06-01,1015.75635
2006-07-01,1014.4258
2006-08-01,1015.80646
2006-09-01,1014.357
2006-10-01,1014.28064
2006-11-01,1018.8677
2006-12-01,1020.09454
2007-01-01,1018.5329
2007-02-01,1018.7068
2007-03-01,1019.1
2007-04-01,1014.318
2007-05-01,1018.55194
2007-06-01,1014.179
2007-07-01,1014.79675
2007-08-01,1014.6171
2007-09-01,1017.724
2007-10-01,1015.1616
2007-11-01,1018.44434
2007-12-01,1018.8587
2008-01-01,1017.95386
2008-02-01,1016.7241
2008-03-01,1019.0377
2008-04-01,1015.0383
2008-05-01,1011.1455
2008-06-01,1011.26135
2008-07-01,1013.33
2008-08-01,1015.1839
2008-09-01,1018.808
2008-10-01,1020.93225
2008-11-01,1017.08966
2008-12-01,1017.48035
2009-01-01,1018.56744
2009-02-01,1018.7261
2009-03-01,1020.0974
2009-04-01,1014.4217
2009-05-01,1015.11096
2009-06-01,1011.53235
2009-07-01,1013.62744
