time,slp_hpa
2018-04-01,1005.18335
2018-05-01,1001.3693
2018-06-01,996.3375
2018-07-01,997.0129
2018-08-01,999.39276
2018-09-01,1005.2942
2018-10-01,1011.1694
2018-11-01,1014.2267
2018-12-01,1017.04034
2019-01-01,1017.7734
2019-02-01,1015.15894
2019-03-01,1012.0532
2019-04-01,1005.77167
2019-05-01,1002.1573
2019-06-01,997.73
2019-07-01,997.05725
2019-08-01,999.77985
2019-09-01,1004.8625
2019-10-01,1011.8306
2019-11-01,1014.445
2019-12-01,1018.1589
2020-01-01,1017.5444
2020-02-01,1016.7241
2020-03-01,1012.31696
2020-04-01,1008.2367
2020-05-01,1002.929
2020-06-01,998.8383
2020-07-01,999.2718
2020-08-01,999.2016
2020-09-01,1003.0308
2020-10-01,1007.475
2020-11-01,1015.07166
2020-12-01,1015.4
2021-01-01,1014.15485
2021-02-01,1013.01074
2021-03-01,1009.1
2021-04-01,1006.2233
2021-05-01,1002.429
2021-06-01,998.25665
2021-07-01,997.6968
2021-08-01,1000.19354
2021-09-01,1003.1533
2021-10-01,1007.90564
2021-11-01,1012.705
2021-12-01,1016.93304
2022-01-01,1015.29675
2022-02-01,1012.1866
2022-03-01,1008.1774
2022-04-01,1003.3075
2022-05-01,998.5508
2022-06-01,997.61
2022-07-01,999.3847
2022-08-01,1000.554
2022-09-01,1003.35583
2022-10-01,1010.1008
2022-11-01,1013.55914
2022-12-01,1015.1484
2023-01-01,1017.2
2023-02-01,1013.6277
2023-03-01,1011.84033
2023-04-01,1007.69666
2023-05-01,1004.7653
2023-06-01,999.92834
2023-07-01,999.9734
2023-08-01,1000.93146
2023-09-01,1003.3983
2023-10-01,1010.7113
2023-11-01,1015.03503
2023-12-01,1016.85645
2024-01-01,1017.2734
2024-02-01,1015.9888
2024-03-01,1011.8097
2024-04-01,1006.1458
2024-05-01,1000.53467
2024-06-01,997.8467
2024-07-01,996.87823
2024-08-01,1001.5887
2024-09-01,1003.275
2024-10-01,1009.08307
2024-11-01,1013.5858
2024-12-01,1015.5879
