time,rhum_percent
2000-01-01,70.04032
2000-02-01,72.17242
2000-03-01,76.563545
2000-04-01,70.09133
2000-05-01,75.77387
2000-06-01,72.766335
2000-07-01,61.032257
2000-08-01,67.95936
2000-09-01,65.724335
2000-10-01,81.354195
2000-11-01,78.033
2000-12-01,73.40323
2001-01-01,75.79032
2001-02-01,73.9375
2001-03-01,68.967094
2001-04-01,73.541336
2001-05-01,74.14484
2001-06-01,74.566666
2001-07-01,64.80645
2001-08-01,71.74935
2001-09-01,76.816
2001-10-01,71.82226
2001-11-01,76.84133
2001-12-01,71.298065
2002-01-01,70.51613
2002-02-01,59.75
2002-03-01,67.83064
2002-04-01,70.45
2002-05-01,66.29032
2002-06-01,67.55
2002-07-01,72.064514
2002-08-01,71.8629
2002-09-01,79.308334
2002-10-01,83.370964
2002-11-01,67.76667
2002-12-01,75.26613
2003-01-01,72.741936
2003-02-01,80.76786
2003-03-01,75.064514
2003-04-01,73.725
2003-05-01,76.66129
2003-06-01,77.325
2003-07-01,75.51613
2003-08-01,69.80645
2003-09-01,82.90833
2003-10-01,77.55645
2003-11-01,72.275
2003-12-01,62.669353
2004-01-01,77.27419
2004-02-01,73.18104
2004-03-01,76.96774
2004-04-01,77.166664
2004-05-01,77.23387
2004-06-01,83.85833
2004-07-01,73.16936
2004-08-01,70.3871
2004-09-01,79.275
2004-10-01,78.145164
2004-11-01,72.541664
2004-12-01,67.935486
2005-01-01,78.17742
2005-02-01,80.14286
2005-03-01,68.33871
2005-04-01,58.583332
2005-05-01,67.17742
2005-06-01,65.5
2005-07-01,64.96774
2005-08-01,64.08871
2005-09-01,72.40833
2005-10-01,70.66129
2005-11-01,64.925
2005-12-01,69.02419
2006-01-01,61.887096
2006-02-01,66.47321
2006-03-01,71.47581
2006-04-01,74.375
2006-05-01,72.451614
2006-06-01,67.71667
2006-07-01,72.05645
2006-08-01,67.32258
2006-09-01,73.03333
2006-10-01,77.19355
2006-11-01,70.183334
2006-12-01,74.048386
2007-01-01,81.54032
2007-02-01,72.66964
2007-03-01,77.53226
2007-04-01,77.38333
2007-05-01,78.44355
2007-06-01,77.566666
2007-07-01,83.67742
2007-08-01,80.08064
2007-09-01,82.36667
2007-10-01,71.53226
2007-11-01,76.166664
2007-12-01,69.44355
2008-01-01,74.72581
2008-02-01,70.32758
2008-03-01,69.645164
2008-04-01,70.98333
2008-05-01,70.6371
2008-06-01,66.73333
2008-07-01,71.96774
2008-08-01,76.30645
2008-09-01,71.458336
2008-10-01,67.07258
2008-11-01,69.86667
2008-12-01,69.741936
2009-01-01,67.548386
2009-02-01,70.74107
2009-03-01,72.370964
2009-04-01,67.416664
2009-05-01,74.53226
2009-06-01,66.825
2009-07-01,61.887096
2009-08-01,61.637096
2009-09-01,77.40833
2009-10-01,79.17742
2009-11-01,70.25833
2009-12-01,79.491936
2010-01-01,73.28226
2010-02-01,76.58929
2010-03-01,65.451614
2010-04-01,73.083336
2010-05-01,75.07258
2010-06-01,72.916664
2010-07-01,79.32258
2010-08-01,72.064514
2010-09-01,82.15
2010-10-01,61.532257
2010-11-01,65.541664
2010-12-01,67.16129
2011-01-01,71.798386
2011-02-01,72.17857
2011-03-01,75.70968
2011-04-01,64.28333
2011-05-01,69.16129
2011-06-01,68.075
2011-07-01,65.16936
2011-08-01,60.967743
2011-09-01,62.5
2011-10-01,62.080647
2011-11-01,64.691666
2011-12-01,80.02419
2012-01-01,71.15323
2012-02-01,82.62931
2012-03-01,78.91936
2012-04-01,71.39167
2012-05-01,72.04032
2012-06-01,71.425
2012-07-01,73.54032
2012-08-01,67.70968
2012-09-01,74.05
2012-10-01,70.71774
2012-11-01,70.325
2012-12-01,70.33871
2013-01-01,76.104836
2013-02-01,69.76786
2013-03-01,61.782257
2013-04-01,77.775
2013-05-01,75.07258
2013-06-01,70.00833
2013-07-01,63.927418
2013-08-01,70.1371
2013-09-01,81.13333
2013-10-01,77.78226
2013-11-01,77.566666
2013-12-01,77.79032
2014-01-01,67.72581
2014-02-01,85.35714
2014-03-01,77.91129
2014-04-01,71.23333
2014-05-01,69.25
2014-06-01,71.55
2014-07-01,68.04032
2014-08-01,66.91936
2014-09-01,82.125
2014-10-01,70.870964
2014-11-01,70.25833
2014-12-01,83.5
2015-01-01,78.548386
