time,temp_c
2000-01-01,-3.2556386
2000-02-01,1.7934847
2000-03-01,7.327256
2000-04-01,9.053859
2000-05-01,17.28414
2000-06-01,20.378721
2000-07-01,22.368505
2000-08-01,23.201956
2000-09-01,18.924084
2000-10-01,13.905705
2000-11-01,3.5336113
2000-12-01,-7.926835
2001-01-01,-3.4499831
2001-02-01,-2.6232889
2001-03-01,1.8677843
2001-04-01,12.1560955
2001-05-01,16.379843
2001-06-01,20.56894
2001-07-01,24.26637
2001-08-01,23.566587
2001-09-01,17.424347
2001-10-01,12.126985
2001-11-01,9.918706
2001-12-01,1.723679
2002-01-01,0.84932506
2002-02-01,0.84397393
2002-03-01,2.0479748
2002-04-01,10.428511
2002-05-01,13.279075
2002-06-01,22.292326
2002-07-01,25.74875
2002-08-01,23.623363
2002-09-01,20.660372
2002-10-01,10.5680065
2002-11-01,3.822486
2002-12-01,-0.37657386
2003-01-01,-5.261583
2003-02-01,-4.019203
2003-03-01,3.7046902
2003-04-01,9.711949
2003-05-01,13.7861185
2003-06-01,18.902903
2003-07-01,22.694935
2003-08-01,23.670368
2003-09-01,17.862448
2003-10-01,11.7449
2003-11-01,6.2799835
2003-12-01,0.33569065
2004-01-01,-5.711667
2004-02-01,-1.6838262
2004-03-01,5.624174
2004-04-01,10.786187
2004-05-01,16.31235
2004-06-01,20.141409
2004-07-01,22.473042
2004-08-01,20.137373
2004-09-01,19.894215
2004-10-01,12.605882
2004-11-01,7.0571423
2004-12-01,-0.9084283
2005-01-01,-3.4407861
2005-02-01,0.7374581
2005-03-01,2.3129609
2005-04-01,11.571298
2005-05-01,14.221729
2005-06-01,23.79736
2005-07-01,24.542252
2005-08-01,23.770042
2005-09-01,21.16052
2005-10-01,13.089772
2005-11-01,6.063756
2005-12-01,-4.509347
2006-01-01,2.472427
2006-02-01,-1.5727571
2006-03-01,3.8822088
2006-04-01,12.13524
2006-05-01,15.507474
2006-06-01,20.28625
2006-07-01,24.923748
2006-08-01,23.323584
2006-09-01,17.420305
2006-10-01,10.215676
2006-11-01,6.9357367
2006-12-01,2.1749847
2007-01-01,-1.2432938
2007-02-01,-7.239867
2007-03-01,6.521969
2007-04-01,8.666138
2007-05-01,17.954105
2007-06-01,22.161634
2007-07-01,23.189514
2007-08-01,24.032215
2007-09-01,20.563148
2007-10-01,15.523785
2007-11-01,4.58364
2007-12-01,-1.4978945
2008-01-01,-4.0392876
2008-02-01,-4.1796494
2008-03-01,2.1868317
2008-04-01,10.190236
2008-05-01,13.46627
2008-06-01,21.939312
2008-07-01,23.584208
2008-08-01,22.565237
2008-09-01,19.362844
2008-10-01,11.906554
2008-11-01,4.3971143
2008-12-01,-4.0259814
2009-01-01,-8.300808
2009-02-01,-1.3501844
2009-03-01,4.850517
2009-04-01,8.92777
2009-05-01,15.770285
2009-06-01,20.178873
