time,slp_hpa
2020-09-01,1013.12415
2020-10-01,1014.95404
2020-11-01,1018.6408
2020-12-01,1018.7734
2021-01-01,1018.5065
2021-02-01,1017.2054
2021-03-01,1015.97906
2021-04-01,1012.90497
2021-05-01,1013.2218
2021-06-01,1012.17834
2021-07-01,1014.7927
2021-08-01,1014.0718
2021-09-01,1013.20667
2021-10-01,1013.925
2021-11-01,1020.04
2021-12-01,1015.3419
2022-01-01,1020.3508
2022-02-01,1020.8661
2022-03-01,1015.8008
2022-04-01,1012.5958
2022-05-01,1010.75323
2022-06-01,1013.4192
2022-07-01,1014.32825
2022-08-01,1013.35406
2022-09-01,1014.49664
2022-10-01,1015.9113
2022-11-01,1017.33167
2022-12-01,1018.64355
2023-01-01,1016.6315
2023-02-01,1017.51874
2023-03-01,1013.71936
2023-04-01,1012.64
2023-05-01,1012.2565
2023-06-01,1009.50165
2023-07-01,1014.1516
2023-08-01,1012.6008
2023-09-01,1012.4825
2023-10-01,1013.80804
2023-11-01,1017.86084
2023-12-01,1018.6476
2024-01-01,1017.21533
2024-02-01,1015.0836
2024-03-01,1012.5645
2024-04-01,1011.9083
2024-05-01,1007.3411
2024-06-01,1009.945
2024-07-01,1013.92175
2024-08-01,1014.3105
2024-09-01,1010.36414
2024-10-01,1016.55804
2024-11-01,1013.6433
2024-12-01,1018.604
