time,precip_mm_per_day,temp_degC,city,co2_ppm,mei
2001-01-01,3.6098,13.16,corpus_christi_tx_usa,370.76,-0.83
2001-02-01,0.8225,18.05,corpus_christi_tx_usa,371.69,-0.86
2001-03-01,4.4071,16.71,corpus_christi_tx_usa,372.63,-0.78
2001-04-01,0.6412,24.2,corpus_christi_tx_usa,373.55,-0.55
2001-05-01,3.1846,26.1,corpus_christi_tx_usa,374.03,-0.51
2001-06-01,5.057,28.95,corpus_christi_tx_usa,373.4,-0.73
2001-07-01,1.779,29.67,corpus_christi_tx_usa,371.68,0.04
2001-08-01,8.0911,29.73,corpus_christi_tx_usa,369.78,0.38
2001-09-01,5.4856,26.93,corpus_christi_tx_usa,368.34,-0.06
2001-10-01,3.6338,23.44,corpus_christi_tx_usa,368.61,-0.22
2001-11-01,4.3391,20.13,corpus_christi_tx_usa,369.94,-0.28
2001-12-01,4.1131,16.09,corpus_christi_tx_usa,371.42,0.06
2002-01-01,1.1523,15.97,corpus_christi_tx_usa,372.7,0.09
2002-02-01,0.8275,13.91,corpus_christi_tx_usa,373.37,-0.26
2002-03-01,0.9355,19.14,corpus_christi_tx_usa,374.3,-0.2
2002-04-01,2.5118,25.44,corpus_christi_tx_usa,375.19,-0.36
2002-05-01,1.4494,26.73,corpus_christi_tx_usa,375.93,-0.14
2002-06-01,4.1702,28.72,corpus_christi_tx_usa,375.69,0.34
2002-07-01,4.8566,28.94,corpus_christi_tx_usa,374.16,0.44
2002-08-01,4.1085,29.8,corpus_christi_tx_usa,372.03,1.01
2002-09-01,7.2883,27.27,corpus_christi_tx_usa,370.92,0.88
2002-10-01,9.5696,24.54,corpus_christi_tx_usa,370.73,0.84
2002-11-01,4.6417,17.47,corpus_christi_tx_usa,372.43,0.84
2002-12-01,5.2549,15.39,corpus_christi_tx_usa,373.98,0.91
2003-01-01,2.0721,12.72,corpus_christi_tx_usa,375.07,0.82
2003-02-01,2.9894,14.7,corpus_christi_tx_usa,375.82,0.63
2003-03-01,1.3704,18.27,corpus_christi_tx_usa,376.64,0.53
2003-04-01,0.712,22.84,corpus_christi_tx_usa,377.92,-0.11
2003-05-01,0.1507,27.9,corpus_christi_tx_usa,378.78,-0.61
2003-06-01,3.8009,28.66,corpus_christi_tx_usa,378.46,-0.1
2003-07-01,5.8204,28.47,corpus_christi_tx_usa,376.88,0.01
2003-08-01,2.3609,29.22,corpus_christi_tx_usa,374.57,0.05
2003-09-01,8.1687,26.46,corpus_christi_tx_usa,373.34,0.18
2003-10-01,3.458,23.61,corpus_christi_tx_usa,373.31,0.28
2003-11-01,2.742,20.42,corpus_christi_tx_usa,374.84,0.3
