time,precip_mm_per_day,temp_degC,city,co2_ppm,mei
2000-01-01,3.1439,-1.98,columbus_oh_usa,369.45,-1.25
2000-01-01,2.4742,17.42,corpus_christi_tx_usa,369.45,-1.25
2000-01-01,0.0361,25.55,mumbai_mh_india,369.45,-1.25
2000-01-01,3.4125,-0.98,new_york_ny_usa,369.45,-1.25
2000-02-01,4.7476,3.75,columbus_oh_usa,369.71,-1.26
2000-02-01,1.5577,20.27,corpus_christi_tx_usa,369.71,-1.26
2000-02-01,0.0971,24.8,mumbai_mh_india,369.71,-1.26
2000-02-01,2.9739,1.9,new_york_ny_usa,369.71,-1.26
2000-03-01,2.755,8.44,columbus_oh_usa,370.75,-1.37
2000-03-01,2.48,22.46,corpus_christi_tx_usa,370.75,-1.37
2000-03-01,0.0095,26.7,mumbai_mh_india,370.75,-1.37
2000-03-01,3.8096,7.8,new_york_ny_usa,370.75,-1.37
2000-04-01,3.7053,11.11,columbus_oh_usa,371.98,-0.9
2000-04-01,3.09,23.33,corpus_christi_tx_usa,371.98,-0.9
2000-04-01,0.0519,29.57,mumbai_mh_india,371.98,-0.9
2000-04-01,3.9874,10.11,new_york_ny_usa,371.98,-0.9
2000-05-01,3.2731,18.42,columbus_oh_usa,371.75,-0.93
2000-05-01,5.9226,27.39,corpus_christi_tx_usa,371.75,-0.93
2000-05-01,3.6745,30.11,mumbai_mh_india,371.75,-0.93
2000-05-01,4.2215,16.77,new_york_ny_usa,371.75,-0.93
2000-06-01,4.1593,22.14,columbus_oh_usa,371.87,-1.18
2000-06-01,3.5796,28.29,corpus_christi_tx_usa,371.87,-1.18
2000-06-01,7.6116,29.72,mumbai_mh_india,371.87,-1.18
2000-06-01,5.7002,21.39,new_york_ny_usa,371.87,-1.18
2000-07-01,4.357,22.17,columbus_oh_usa,370.02,-0.61
2000-07-01,0.7372,30.05,corpus_christi_tx_usa,370.02,-0.61
2000-07-01,14.4007,28.46,mumbai_mh_india,370.02,-0.61
2000-07-01,5.5036,21.87,new_york_ny_usa,370.02,-0.61
2000-08-01,3.2868,21.94,columbus_oh_usa,368.27,-0.08
2000-08-01,1.2122,29.75,corpus_christi_tx_usa,368.27,-0.08
2000-08-01,10.7015,28.69,mumbai_mh_india,368.27,-0.08
2000-08-01,3.8301,22.03,new_york_ny_usa,368.27,-0.08
2000-09-01,3.7013,18.25,columbus_oh_usa,367.15,-0.35
2000-09-01,1.8901,28.11,corpus_christi_tx_usa,367.15,-0.35
2000-09-01,4.2526,28.97,mumbai_mh_india,367.15,-0.35
2000-09-01,3.8858,18.47,new_york_ny_usa,367.15,-0.35
2000-10-01,1.2082,14.38,columbus_oh_usa,367.18,-0.52
2000-10-01,3.7335,24.02,corpus_christi_tx_usa,367.18,-0.52
2000-10-01,2.0184,29.78,mumbai_mh_india,367.18,-0.52
2000-10-01,1.1774,12.9,new_york_ny_usa,367.18,-0.52
