time,temp_c
2022-02-01,17.343283
2022-03-01,25.55153
2022-04-01,31.821016
2022-05-01,33.27052
2022-06-01,33.94476
2022-07-01,31.10082
2022-08-01,30.411837
2022-09-01,29.284494
2022-10-01,24.795464
2022-11-01,20.64901
2022-12-01,15.505202
2023-01-01,13.401521
2023-02-01,19.918926
2023-03-01,23.651945
2023-04-01,27.825985
2023-05-01,29.94975
2023-06-01,31.537697
2023-07-01,30.54439
2023-08-01,31.13274
2023-09-01,30.399876
2023-10-01,26.037098
2023-11-01,20.647932
2023-12-01,16.416456
2024-01-01,11.959401
2024-02-01,16.88278
2024-03-01,22.465336
2024-04-01,29.210686
2024-05-01,34.29691
2024-06-01,35.55809
2024-07-01,31.51177
2024-08-01,29.656384
2024-09-01,28.85047
2024-10-01,27.795982
2024-11-01,21.705303
2024-12-01,15.126881
