time,precip_mm
2000-01-01,17.224768
2000-02-01,45.846645
2000-03-01,16.436367
2000-04-01,1.4861286
2000-05-01,15.975317
2000-06-01,163.88655
2000-07-01,189.86253
2000-08-01,141.76056
2000-09-01,27.476976
2000-10-01,0.0
2000-11-01,0.77142364
2000-12-01,6.942257
2001-01-01,11.114171
2001-02-01,9.925964
2001-03-01,3.8966951
2001-04-01,34.83957
2001-05-01,48.094837
2001-06-01,120.736786
2001-07-01,100.95762
2001-08-01,96.00512
2001-09-01,42.546703
2001-10-01,4.994217
2001-11-01,0.06677382
2001-12-01,1.158413
2002-01-01,19.74033
2002-02-01,24.94537
2002-03-01,4.024841
2002-04-01,1.5411814
2002-05-01,111.05175
2002-06-01,45.776943
2002-07-01,10.649327
2002-08-01,112.35819
2002-09-01,184.52289
2002-10-01,1.4711738
2002-11-01,0.0
2002-12-01,27.572569
2003-01-01,33.57017
2003-02-01,17.04341
2003-03-01,3.7047853
2003-04-01,1.5061076
2003-05-01,7.4085374
2003-06-01,144.7814
2003-07-01,579.4901
2003-08-01,165.17406
2003-09-01,73.06954
2003-10-01,7.9263344
2003-11-01,0.57713753
2003-12-01,25.006004
2004-01-01,18.06633
2004-02-01,0.10266181
2004-03-01,0.0
2004-04-01,86.620674
2004-05-01,12.417107
2004-06-01,73.02038
2004-07-01,23.656599
2004-08-01,261.1288
2004-09-01,6.286916
2004-10-01,73.77173
2004-11-01,0.030481702
2004-12-01,1.4880302
2005-01-01,8.289061
2005-02-01,45.34407
2005-03-01,31.832079
2005-04-01,5.545506
2005-05-01,4.2558045
2005-06-01,66.20292
2005-07-01,193.39415
2005-08-01,117.097466
2005-09-01,218.3551
2005-10-01,0.18787117
2005-11-01,1.5708698
2005-12-01,0.14138655
2006-01-01,2.056393
2006-02-01,0.124675974
2006-03-01,27.614891
2006-04-01,2.1200747
2006-05-01,59.588104
2006-06-01,107.246895
2006-07-01,235.43402
2006-08-01,95.597755
2006-09-01,110.517395
2006-10-01,3.7255535
2006-11-01,0.85298234
2006-12-01,4.767771
2007-01-01,1.746311
2007-02-01,88.39599
2007-03-01,43.85154
2007-04-01,1.0195599
2007-05-01,63.31424
2007-06-01,143.99632
2007-07-01,154.94229
2007-08-01,202.9929
2007-09-01,80.11568
2007-10-01,0.6379248
2007-11-01,1.4585936
2007-12-01,0.974977
2008-01-01,2.7768834
2008-02-01,3.5284
2008-03-01,1.7088975
2008-04-01,34.85739
2008-05-01,147.63652
2008-06-01,103.263855
2008-07-01,162.94763
2008-08-01,254.49232
2008-09-01,158.99947
2008-10-01,1.584393
2008-11-01,3.7020707
2008-12-01,0.18433534
2009-01-01,6.271602
2009-02-01,6.129649
2009-03-01,9.38843
2009-04-01,5.274832
2009-05-01,63.506752
2009-06-01,19.501476
2009-07-01,144.8974
2009-08-01,195.65352
2009-09-01,183.12065
2009-10-01,13.266277
2009-11-01,10.69002
2009-12-01,2.0513585
2010-01-01,7.421924
2010-02-01,25.337555
2010-03-01,0.42121595
2010-04-01,1.174051
2010-05-01,4.6757183
2010-06-01,10.691513
2010-07-01,289.17206
2010-08-01,359.9231
2010-09-01,271.24454
2010-10-01,5.1809735
2010-11-01,23.097824
2010-12-01,9.282009
2011-01-01,0.9663512
2011-02-01,46.062584
2011-03-01,4.8089232
2011-04-01,8.914719
2011-05-01,27.194366
2011-06-01,91.67873
2011-07-01,125.97426
2011-08-01,188.0126
2011-09-01,218.53711
2011-10-01,0.86707217
2011-11-01,0.0
2011-12-01,2.1119895
2012-01-01,13.487558
2012-02-01,0.95011306
2012-03-01,5.0917745
2012-04-01,19.483572
2012-05-01,3.482336
2012-06-01,15.682328
2012-07-01,112.60086
2012-08-01,344.32574
2012-09-01,61.75864
2012-10-01,6.8280616
2012-11-01,1.3111213
2012-12-01,4.618343
2013-01-01,33.76249
2013-02-01,91.20201
2013-03-01,12.680727
2013-04-01,9.918915
2013-05-01,0.6287222
2013-06-01,127.319885
2013-07-01,319.9905
2013-08-01,306.2862
2013-09-01,100.35715
2013-10-01,56.562954
2013-11-01,1.5292101
2013-12-01,5.7268114
2014-01-01,20.232555
2014-02-01,53.299557
2014-03-01,24.35068
2014-04-01,11.394455
2014-05-01,55.633278
2014-06-01,41.5981
2014-07-01,106.3138
2014-08-01,164.49037
2014-09-01,60.067493
2014-10-01,4.7311773
2014-11-01,0.14462581
2014-12-01,25.020655
2015-01-01,24.658806
2015-02-01,5.2829547
2015-03-01,87.3259
2015-04-01,33.871662
2015-05-01,3.1337895
2015-06-01,67.37858
2015-07-01,224.02783
2015-08-01,186.3097
2015-09-01,23.015491
2015-10-01,3.4673045
2015-11-01,1.982147
2015-12-01,0.19050649
2016-01-01,0.0
2016-02-01,1.2898384
2016-03-01,23.984589
2016-04-01,0.05194064
2016-05-01,33.831062
2016-06-01,47.026966
2016-07-01,337.33456
2016-08-01,189.47069
2016-09-01,17.092943
2016-10-01,2.8377903
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,34.220036
2017-02-01,0.30890217
2017-03-01,13.316175
2017-04-01,20.207745
2017-05-01,27.55886
2017-06-01,157.77641
2017-07-01,160.23596
2017-08-01,164.24202
2017-09-01,101.24387
2017-10-01,0.0
2017-11-01,0.40186357
2017-12-01,5.911793
2018-01-01,3.4065886
2018-02-01,1.3307151
2018-03-01,0.0
2018-04-01,13.936511
2018-05-01,19.425701
2018-06-01,65.05359
2018-07-01,330.3423
2018-08-01,150.02281
2018-09-01,205.05186
2018-10-01,0.568231
2018-11-01,4.607856
2018-12-01,1.0615776
2019-01-01,40.02047
2019-02-01,27.323214
2019-03-01,9.475
2019-04-01,11.155073
2019-05-01,33.55644
2019-06-01,10.425927
2019-07-01,203.19548
2019-08-01,158.4541
2019-09-01,63.026726
2019-10-01,34.335102
2019-11-01,15.475621
2019-12-01,27.849234
