time,precip_mm
2000-01-01,149.58768
2000-02-01,192.6327
2000-03-01,51.46911
2000-04-01,31.966366
2000-05-01,26.849667
2000-06-01,5.0296063
2000-07-01,0.86673486
2000-08-01,0.23902996
2000-09-01,5.5022616
2000-10-01,69.06085
2000-11-01,21.14909
2000-12-01,17.673069
2001-01-01,88.245865
2001-02-01,165.55336
2001-03-01,38.801487
2001-04-01,36.246304
2001-05-01,0.0
2001-06-01,3.2194436
2001-07-01,0.3681005
2001-08-01,0.2894631
2001-09-01,6.386861
2001-10-01,9.917544
2001-11-01,111.07666
2001-12-01,222.60916
2002-01-01,47.533997
2002-02-01,43.94011
2002-03-01,65.67178
2002-04-01,8.620389
2002-05-01,20.68699
2002-06-01,0.4220072
2002-07-01,0.0
2002-08-01,0.21456896
2002-09-01,0.0
2002-10-01,0.1980525
2002-11-01,69.54851
2002-12-01,278.68323
2003-01-01,47.13024
2003-02-01,48.785816
2003-03-01,38.04472
2003-04-01,88.16973
2003-05-01,21.005543
2003-06-01,0.051914208
2003-07-01,0.092430905
2003-08-01,0.55222344
2003-09-01,0.23480721
2003-10-01,0.2681311
2003-11-01,38.80262
2003-12-01,168.34908
2004-01-01,68.715546
2004-02-01,122.74437
2004-03-01,17.333595
2004-04-01,3.5680556
2004-05-01,1.9120476
2004-06-01,0.0
2004-07-01,0.046675768
2004-08-01,0.30717716
2004-09-01,3.2808976
2004-10-01,66.36687
2004-11-01,37.476486
2004-12-01,169.08134
2005-01-01,107.12718
2005-02-01,101.66525
2005-03-01,109.573364
2005-04-01,45.131744
2005-05-01,41.185513
2005-06-01,13.916965
2005-07-01,0.25016457
2005-08-01,0.07572764
2005-09-01,1.1493385
2005-10-01,8.795427
2005-11-01,35.184822
2005-12-01,217.6429
2006-01-01,125.24167
2006-02-01,50.31852
2006-03-01,180.81905
2006-04-01,121.10646
2006-05-01,10.988678
2006-06-01,0.21047746
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.022000877
2006-10-01,9.21308
2006-11-01,54.672092
2006-12-01,91.667534
2007-01-01,15.656394
2007-02-01,114.908875
2007-03-01,8.718184
2007-04-01,36.865025
2007-05-01,7.372239
2007-06-01,0.0
2007-07-01,0.10017202
2007-08-01,0.0
2007-09-01,4.0871406
2007-10-01,63.136925
2007-11-01,21.95238
2007-12-01,85.59599
2008-01-01,187.80286
2008-02-01,69.75829
2008-03-01,6.714725
2008-04-01,2.8447018
2008-05-01,0.5366584
2008-06-01,0.0
2008-07-01,0.022320801
2008-08-01,0.093589865
2008-09-01,0.0
2008-10-01,18.139807
2008-11-01,64.672516
2008-12-01,66.16854
2009-01-01,24.714401
2009-02-01,184.24852
2009-03-01,65.771996
2009-04-01,13.073233
2009-05-01,20.641262
2009-06-01,1.0452961
2009-07-01,0.07028496
2009-08-01,0.18020214
2009-09-01,11.911379
2009-10-01,97.80944
2009-11-01,10.920946
2009-12-01,77.32417
2010-01-01,164.91992
2010-02-01,81.46591
2010-03-01,60.77067
2010-04-01,91.6356
2010-05-01,26.746672
2010-06-01,0.4324446
2010-07-01,0.0
2010-08-01,0.12637137
2010-09-01,1.4501046
2010-10-01,33.04642
2010-11-01,67.39687
2010-12-01,162.49326
2011-01-01,28.580708
2011-02-01,107.14297
2011-03-01,154.49739
2011-04-01,7.4890504
2011-05-01,18.222015
2011-06-01,50.41543
2011-07-01,0.23611528
2011-08-01,0.080213405
2011-09-01,0.25730163
2011-10-01,31.255432
2011-11-01,34.29433
2011-12-01,3.228347
2012-01-01,62.908432
2012-02-01,17.813652
2012-03-01,131.5269
2012-04-01,76.91629
2012-05-01,0.22420365
2012-06-01,2.4777622
2012-07-01,0.24301523
2012-08-01,0.02402101
2012-09-01,0.0
2012-10-01,21.945759
2012-11-01,79.109024
2012-12-01,182.69382
2013-01-01,8.449875
2013-02-01,13.400051
2013-03-01,12.7392845
2013-04-01,23.464582
2013-05-01,0.7904362
2013-06-01,3.2352057
2013-07-01,0.021767167
2013-08-01,0.1506208
2013-09-01,9.339355
2013-10-01,0.02700707
2013-11-01,26.802547
2013-12-01,15.910961
2014-01-01,0.8089665
2014-02-01,102.370544
2014-03-01,63.734135
2014-04-01,52.292374
2014-05-01,0.5226727
2014-06-01,3.9974315
2014-07-01,0.2404514
2014-08-01,0.30140153
2014-09-01,11.262756
2014-10-01,7.0125647
2014-11-01,51.141624
2014-12-01,282.53482
2015-01-01,0.021507638
2015-02-01,54.50247
2015-03-01,3.8808045
2015-04-01,31.426048
2015-05-01,3.1599488
2015-06-01,5.119151
2015-07-01,0.7445315
2015-08-01,0.37410697
2015-09-01,0.6373133
2015-10-01,0.8305489
2015-11-01,43.357304
2015-12-01,111.037735
2016-01-01,163.50836
2016-02-01,20.94411
2016-03-01,164.33644
2016-04-01,31.995918
2016-05-01,3.21257
2016-06-01,0.0
2016-07-01,0.050290126
2016-08-01,0.051032145
2016-09-01,0.0
2016-10-01,88.59524
2016-11-01,45.10903
2016-12-01,115.87726
2017-01-01,267.4024
2017-02-01,225.61998
2017-03-01,82.99284
2017-04-01,72.1883
2017-05-01,0.04187812
2017-06-01,1.5017397
2017-07-01,0.0
2017-08-01,0.060171995
2017-09-01,1.8362756
2017-10-01,6.5668235
2017-11-01,77.81709
2017-12-01,2.8465917
2018-01-01,125.52545
2018-02-01,7.291804
2018-03-01,124.47051
2018-04-01,78.66748
2018-05-01,0.48526424
2018-06-01,0.02704069
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,2.4847808
2018-11-01,99.87932
2018-12-01,51.36183
2019-01-01,121.314964
2019-02-01,200.99236
2019-03-01,105.21205
2019-04-01,12.86291
2019-05-01,61.995842
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,3.2653213
2019-10-01,0.045343693
2019-11-01,29.432602
2019-12-01,118.87009
2020-01-01,49.88139
2020-02-01,0.0
2020-03-01,45.698513
2020-04-01,31.907679
2020-05-01,18.751823
2020-06-01,1.4805571
2020-07-01,0.0
2020-08-01,1.0092343
2020-09-01,0.0
2020-10-01,0.05312106
2020-11-01,16.94432
2020-12-01,49.130283
2021-01-01,82.104294
2021-02-01,41.71501
2021-03-01,44.437813
2021-04-01,2.7716396
2021-05-01,0.298675
2021-06-01,0.10532683
2021-07-01,0.0904849
2021-08-01,0.17571805
2021-09-01,0.6837136
2021-10-01,169.02031
2021-11-01,34.42846
2021-12-01,228.5013
2022-01-01,13.193367
2022-02-01,1.5276498
2022-03-01,16.658932
2022-04-01,39.41169
2022-05-01,0.26451913
2022-06-01,5.0572643
2022-07-01,0.60925007
2022-08-01,0.23118341
2022-09-01,7.3742533
2022-10-01,0.13072121
