time,temperature_c,co2_ppm
2000-01-01,17.42,369.45
2000-02-01,20.27,369.71
2000-03-01,22.46,370.75
2000-04-01,23.33,371.98
2000-05-01,27.39,371.75
2000-06-01,28.29,371.87
2000-07-01,30.05,370.02
2000-08-01,29.75,368.27
2000-09-01,28.11,367.15
2000-10-01,24.02,367.18
2000-11-01,18.0,368.53
2000-12-01,12.32,369.83
2001-01-01,13.16,370.76
2001-02-01,18.05,371.69
2001-03-01,16.71,372.63
2001-04-01,24.2,373.55
2001-05-01,26.1,374.03
2001-06-01,28.95,373.4
2001-07-01,29.67,371.68
2001-08-01,29.73,369.78
2001-09-01,26.93,368.34
2001-10-01,23.44,368.61
2001-11-01,20.13,369.94
2001-12-01,16.09,371.42
2002-01-01,15.97,372.7
2002-02-01,13.91,373.37
2002-03-01,19.14,374.3
2002-04-01,25.44,375.19
2002-05-01,26.73,375.93
2002-06-01,28.72,375.69
2002-07-01,28.94,374.16
2002-08-01,29.8,372.03
2002-09-01,27.27,370.92
2002-10-01,24.54,370.73
2002-11-01,17.47,372.43
2002-12-01,15.39,373.98
2003-01-01,12.72,375.07
2003-02-01,14.7,375.82
2003-03-01,18.27,376.64
2003-04-01,22.84,377.92
2003-05-01,27.9,378.78
2003-06-01,28.66,378.46
2003-07-01,28.47,376.88
2003-08-01,29.22,374.57
2003-09-01,26.46,373.34
2003-10-01,23.61,373.31
2003-11-01,20.42,374.84
2003-12-01,15.34,376.17
2004-01-01,15.52,377.17
2004-02-01,14.95,378.05
2004-03-01,21.75,379.06
2004-04-01,22.05,380.54
2004-05-01,25.2,380.8
2004-06-01,28.1,379.87
2004-07-01,28.89,377.65
2004-08-01,29.1,376.17
2004-09-01,27.36,374.43
2004-10-01,26.63,374.63
2004-11-01,19.93,376.33
2004-12-01,14.6,377.68
2005-01-01,16.56,378.63
2005-02-01,17.12,379.91
2005-03-01,19.32,380.95
2005-04-01,22.58,382.48
2005-05-01,25.26,382.64
2005-06-01,28.5901,382.4
