time,temperature_c,co2_ppm
2016-07-01,18.656013,404.59
2016-08-01,18.627491,402.45
2016-09-01,19.10548,401.23
2016-10-01,17.431255,401.79
2016-11-01,14.33875,403.72
2016-12-01,10.126551,404.64
2017-01-01,10.1516905,406.36
2017-02-01,12.555008,406.66
2017-03-01,14.2479725,407.54
2017-04-01,15.140555,409.22
2017-05-01,17.164503,409.89
2017-06-01,18.869526,409.08
2017-07-01,19.409985,407.33
2017-08-01,19.677114,405.32
2017-09-01,21.163654,403.57
2017-10-01,17.433931,403.82
2017-11-01,13.989383,405.31
2017-12-01,10.148948,407.0
2018-01-01,11.432428,408.15
2018-02-01,11.853006,408.52
2018-03-01,12.476926,409.59
2018-04-01,14.513565,410.45
2018-05-01,16.045555,411.44
2018-06-01,18.371338,410.99
2018-07-01,19.353691,408.9
2018-08-01,18.3858,407.16
2018-09-01,17.880955,405.71
2018-10-01,17.502943,406.19
2018-11-01,13.599852,408.21
2018-12-01,11.188989,409.27
2019-01-01,12.149381,411.03
2019-02-01,10.100997,411.96
2019-03-01,12.87995,412.18
2019-04-01,15.802159,413.54
2019-05-01,15.384222,414.86
2019-06-01,19.31728,414.15
2019-07-01,19.272224,411.96
2019-08-01,21.022974,410.17
2019-09-01,20.244022,408.76
2019-10-01,17.154835,408.74
2019-11-01,13.22618,410.47
2019-12-01,11.791242,411.97
2020-01-01,10.840886,413.59
2020-02-01,13.0121355,414.32
2020-03-01,12.643691,414.72
2020-04-01,14.941785,416.42
2020-05-01,17.878834,417.28
2020-06-01,19.0263,416.58
2020-07-01,18.455791,414.58
2020-08-01,20.481775,412.75
2020-09-01,20.78315,411.5
2020-10-01,19.56182,411.49
2020-11-01,12.982233,413.1
2020-12-01,11.255128,414.23
2021-01-01,11.46503,415.49
2021-02-01,12.616732,416.72
2021-03-01,12.330141,417.61
2021-04-01,13.736451,419.01
2021-05-01,15.763696,419.09
2021-06-01,18.243647,418.93
2021-07-01,18.093811,416.9
2021-08-01,18.915638,414.42
2021-09-01,18.80872,413.26
2021-10-01,16.70769,413.9
2021-11-01,14.08543,414.97
2021-12-01,9.750755,416.67
2022-01-01,10.670427,418.13
2022-02-01,11.758833,419.24
2022-03-01,12.786632,418.76
2022-04-01,13.981542,420.19
2022-05-01,15.795791,420.97
2022-06-01,18.425777,420.94
2022-07-01,17.834873,418.85
2022-08-01,19.566895,417.15
2022-09-01,20.504824,415.91
