time,temperature_c,co2_ppm
2000-01-01,25.55,369.45
2000-02-01,24.8,369.71
2000-03-01,26.7,370.75
2000-04-01,29.57,371.98
2000-05-01,30.11,371.75
2000-06-01,29.72,371.87
2000-07-01,28.46,370.02
2000-08-01,28.69,368.27
2000-09-01,28.97,367.15
2000-10-01,29.78,367.18
2000-11-01,28.43,368.53
2000-12-01,26.15,369.83
2001-01-01,25.15,370.76
2001-02-01,25.09,371.69
2001-03-01,26.74,372.63
2001-04-01,29.33,373.55
2001-05-01,30.74,374.03
2001-06-01,29.72,373.4
2001-07-01,28.52,371.68
2001-08-01,28.39,369.78
2001-09-01,29.06,368.34
2001-10-01,29.46,368.61
2001-11-01,28.73,369.94
2001-12-01,26.79,371.42
2002-01-01,24.39,372.7
2002-02-01,26.38,373.37
2002-03-01,28.16,374.3
2002-04-01,29.97,375.19
2002-05-01,31.77,375.93
2002-06-01,30.1,375.69
2002-07-01,29.71,374.16
2002-08-01,27.99,372.03
2002-09-01,28.53,370.92
2002-10-01,30.3,370.73
2002-11-01,28.47,372.43
2002-12-01,26.72,373.98
2003-01-01,26.04,375.07
2003-02-01,26.35,375.82
2003-03-01,27.61,376.64
2003-04-01,29.51,377.92
2003-05-01,31.07,378.78
2003-06-01,30.21,378.46
2003-07-01,28.9601,376.88
2003-08-01,28.7,374.57
2003-09-01,28.4,373.34
2003-10-01,29.56,373.31
2003-11-01,29.16,374.84
2003-12-01,26.23,376.17
2004-01-01,24.76,377.17
2004-02-01,25.79,378.05
2004-03-01,28.64,379.06
2004-04-01,29.4,380.54
2004-05-01,31.13,380.8
2004-06-01,29.91,379.87
2004-07-01,28.87,377.65
2004-08-01,27.9901,376.17
2004-09-01,28.74,374.43
2004-10-01,29.07,374.63
2004-11-01,29.13,376.33
2004-12-01,26.47,377.68
2005-01-01,24.26,378.63
2005-02-01,25.05,379.91
2005-03-01,26.95,380.95
2005-04-01,29.47,382.48
2005-05-01,30.74,382.64
2005-06-01,30.54,382.4
2005-07-01,29.05,380.93
2005-08-01,28.31,378.93
2005-09-01,28.1,376.89
2005-10-01,29.02,377.19
2005-11-01,27.45,378.54
2005-12-01,25.52,380.31
2006-01-01,25.08,381.58
2006-02-01,27.0,382.4
2006-03-01,27.16,382.86
2006-04-01,28.78,384.8
2006-05-01,30.86,385.22
2006-06-01,30.0601,384.24
2006-07-01,28.5,382.65
2006-08-01,28.02,380.6
2006-09-01,28.79,379.04
2006-10-01,29.81,379.33
2006-11-01,28.88,380.35
