time,temperature_c,co2_ppm
2000-01-01,-3.2556386,369.45
2000-02-01,1.7934847,369.71
2000-03-01,7.327256,370.75
2000-04-01,9.053859,371.98
2000-05-01,17.28414,371.75
2000-06-01,20.378721,371.87
2000-07-01,22.368505,370.02
2000-08-01,23.201956,368.27
2000-09-01,18.924084,367.15
2000-10-01,13.905705,367.18
2000-11-01,3.5336113,368.53
2000-12-01,-7.926835,369.83
2001-01-01,-3.4499831,370.76
2001-02-01,-2.6232889,371.69
2001-03-01,1.8677843,372.63
2001-04-01,12.1560955,373.55
2001-05-01,16.379843,374.03
2001-06-01,20.56894,373.4
2001-07-01,24.26637,371.68
2001-08-01,23.566587,369.78
2001-09-01,17.424347,368.34
2001-10-01,12.126985,368.61
2001-11-01,9.918706,369.94
2001-12-01,1.723679,371.42
2002-01-01,0.84932506,372.7
2002-02-01,0.84397393,373.37
2002-03-01,2.0479748,374.3
2002-04-01,10.428511,375.19
2002-05-01,13.279075,375.93
2002-06-01,22.292326,375.69
2002-07-01,25.74875,374.16
2002-08-01,23.623363,372.03
2002-09-01,20.660372,370.92
2002-10-01,10.5680065,370.73
2002-11-01,3.822486,372.43
2002-12-01,-0.37657386,373.98
2003-01-01,-5.261583,375.07
2003-02-01,-4.019203,375.82
2003-03-01,3.7046902,376.64
2003-04-01,9.711949,377.92
2003-05-01,13.7861185,378.78
2003-06-01,18.902903,378.46
2003-07-01,22.694935,376.88
2003-08-01,23.670368,374.57
2003-09-01,17.862448,373.34
2003-10-01,11.7449,373.31
2003-11-01,6.2799835,374.84
2003-12-01,0.33569065,376.17
2004-01-01,-5.711667,377.17
2004-02-01,-1.6838262,378.05
2004-03-01,5.624174,379.06
2004-04-01,10.786187,380.54
2004-05-01,16.31235,380.8
2004-06-01,20.141409,379.87
2004-07-01,22.473042,377.65
2004-08-01,20.137373,376.17
2004-09-01,19.894215,374.43
2004-10-01,12.605882,374.63
2004-11-01,7.0571423,376.33
2004-12-01,-0.9084283,377.68
2005-01-01,-3.4407861,378.63
2005-02-01,0.7374581,379.91
2005-03-01,2.3129609,380.95
2005-04-01,11.571298,382.48
2005-05-01,14.221729,382.64
2005-06-01,23.79736,382.4
2005-07-01,24.542252,380.93
2005-08-01,23.770042,378.93
2005-09-01,21.16052,376.89
2005-10-01,13.089772,377.19
2005-11-01,6.063756,378.54
2005-12-01,-4.509347,380.31
2006-01-01,2.472427,381.58
2006-02-01,-1.5727571,382.4
2006-03-01,3.8822088,382.86
2006-04-01,12.13524,384.8
2006-05-01,15.507474,385.22
2006-06-01,20.28625,384.24
2006-07-01,24.923748,382.65
2006-08-01,23.323584,380.6
2006-09-01,17.420305,379.04
