time,temperature_c,co2_ppm
2000-01-01,-1.98,369.45
2000-02-01,3.75,369.71
2000-03-01,8.44,370.75
2000-04-01,11.11,371.98
2000-05-01,18.42,371.75
2000-06-01,22.14,371.87
2000-07-01,22.17,370.02
2000-08-01,21.94,368.27
2000-09-01,18.25,367.15
2000-10-01,14.38,367.18
2000-11-01,5.42,368.53
2000-12-01,-4.29,369.83
2001-01-01,-1.36,370.76
2001-02-01,2.6,371.69
2001-03-01,3.76,372.63
2001-04-01,13.61,373.55
2001-05-01,17.45,374.03
2001-06-01,21.12,373.4
2001-07-01,22.95,371.68
2001-08-01,23.64,369.78
2001-09-01,17.84,368.34
2001-10-01,13.0,368.61
2001-11-01,9.68,369.94
2001-12-01,4.37,371.42
2002-01-01,2.2,372.7
2002-02-01,2.74,373.37
2002-03-01,5.48,374.3
2002-04-01,12.81,375.19
2002-05-01,15.02,375.93
2002-06-01,22.98,375.69
2002-07-01,25.15,374.16
2002-08-01,24.54,372.03
2002-09-01,21.24,370.92
2002-10-01,12.42,370.73
2002-11-01,5.7,372.43
2002-12-01,0.77,373.98
2003-01-01,-4.31,375.07
2003-02-01,-2.01,375.82
2003-03-01,7.03,376.64
2003-04-01,12.74,377.92
2003-05-01,16.6,378.78
2003-06-01,19.79,378.46
2003-07-01,23.04,376.88
2003-08-01,23.48,374.57
2003-09-01,18.11,373.34
2003-10-01,11.97,373.31
2003-11-01,9.03,374.84
2003-12-01,1.57,376.17
2004-01-01,-2.75,377.17
2004-02-01,0.47,378.05
2004-03-01,7.36,379.06
2004-04-01,11.82,380.54
2004-05-01,19.5,380.8
2004-06-01,21.27,379.87
2004-07-01,22.88,377.65
2004-08-01,21.3401,376.17
2004-09-01,19.91,374.43
2004-10-01,13.16,374.63
2004-11-01,8.53,376.33
2004-12-01,1.1,377.68
2005-01-01,0.56,378.63
2005-02-01,2.12,379.91
2005-03-01,3.45,380.95
2005-04-01,12.73,382.48
2005-05-01,14.77,382.64
2005-06-01,23.45,382.4
2005-07-01,25.02,380.93
2005-08-01,24.72,378.93
2005-09-01,21.11,376.89
2005-10-01,13.34,377.19
2005-11-01,7.9,378.54
2005-12-01,-0.92,380.31
2006-01-01,5.27,381.58
2006-02-01,1.17,382.4
2006-03-01,5.42,382.86
2006-04-01,14.03,384.8
2006-05-01,16.07,385.22
2006-06-01,20.88,384.24
2006-07-01,24.36,382.65
2006-08-01,24.16,380.6
2006-09-01,17.57,379.04
2006-10-01,11.43,379.33
2006-11-01,7.72,380.35
2006-12-01,4.68,382.02
2007-01-01,2.03,383.1
2007-02-01,-5.52,384.12
2007-03-01,8.58,384.81
2007-04-01,10.41,386.73
2007-05-01,18.96,386.78
2007-06-01,22.57,386.33
2007-07-01,22.24,384.73
2007-08-01,25.37,382.24
2007-09-01,20.96,381.2
2007-10-01,16.4,381.37
2007-11-01,6.7,382.7
2007-12-01,2.18,384.19
2008-01-01,-0.5,385.78
2008-02-01,-0.2,386.06
2008-03-01,4.52,386.28
2008-04-01,12.93,387.33
2008-05-01,15.16,388.78
2008-06-01,22.66,387.99
2008-07-01,23.37,386.61
2008-08-01,22.5,384.32
2008-09-01,20.62,383.41
2008-10-01,12.32,383.22
2008-11-01,5.32,384.41
2008-12-01,0.85,385.79
2009-01-01,-4.19,387.17
2009-02-01,1.23,387.7
2009-03-01,7.46,389.04
2009-04-01,11.98,389.76
2009-05-01,17.37,390.36
2009-06-01,21.84,389.7
2009-07-01,21.19,388.24
2009-08-01,22.53,386.29
2009-09-01,19.17,384.95
2009-10-01,11.0,384.64
2009-11-01,8.78,386.23
2009-12-01,0.57,387.63
2010-01-01,-2.69,388.91
2010-02-01,-2.47,390.41
2010-03-01,6.97,391.37
2010-04-01,14.21,392.67
2010-05-01,18.22,393.21
2010-06-01,23.62,392.38
2010-07-01,24.92,390.41
2010-08-01,24.46,388.54
2010-09-01,20.13,387.03
2010-10-01,13.83,387.43
2010-11-01,6.43,388.87
2010-12-01,-2.85,389.99
2011-01-01,-3.2604,391.5
2011-02-01,1.2187,392.05
2011-03-01,6.0207,392.8
2011-04-01,12.925,393.44
2011-05-01,17.2877,394.41
2011-06-01,22.2455,393.95
2011-07-01,26.0288,392.72
2011-08-01,23.1681,390.33
2011-09-01,18.7352,389.28
2011-10-01,12.2629,389.19
2011-11-01,9.2525,390.48
2011-12-01,3.9644,392.06
2012-01-01,1.4997,393.31
2012-02-01,3.0128,394.04
2012-03-01,12.5127,394.59
2012-04-01,11.5306,396.38
2012-05-01,20.3451,396.93
2012-06-01,22.1825,395.91
2012-07-01,26.3367,394.56
2012-08-01,23.0877,392.59
2012-09-01,18.5637,391.32
2012-10-01,12.3464,391.27
2012-11-01,5.1612,393.2
2012-12-01,4.4825,394.57
2013-01-01,0.7812,395.78
2013-02-01,0.0175,397.03
2013-03-01,3.0266,397.66
2013-04-01,11.9466,398.64
2013-05-01,18.056,400.02
2013-06-01,21.9641,398.81
2013-07-01,23.4636,397.51
2013-08-01,22.3692,395.39
2013-09-01,19.2437,393.72
2013-10-01,13.3302,393.9
2013-11-01,5.0135,395.36
2013-12-01,1.6462,397.03
2014-01-01,-4.6915,398.04
2014-02-01,-2.5628,398.27
2014-03-01,3.6781,399.91
2014-04-01,12.4182,401.51
2014-05-01,17.6705,401.96
2014-06-01,22.6801,401.43
2014-07-01,21.9982,399.27
2014-08-01,23.1104,397.18
2014-09-01,18.9967,395.54
2014-10-01,12.885,396.16
2014-11-01,3.8339,397.4
2014-12-01,3.0984,399.08
2015-01-01,-2.2635,400.18
2015-02-01,-6.0571,400.55
2015-03-01,4.3564,401.74
2015-04-01,12.2676,403.35
2015-05-01,19.4402,404.15
2015-06-01,22.3545,402.97
2015-07-01,23.1928,401.46
2015-08-01,22.1109,399.11
2015-09-01,21.0757,397.82
2015-10-01,13.4109,398.49
2015-11-01,9.4462,400.27
2015-12-01,7.6956,402.06
2016-01-01,-1.2504,402.73
2016-02-01,2.1323,404.25
2016-03-01,9.7384,405.06
2016-04-01,11.8847,407.6
2016-05-01,16.4756,407.9
2016-06-01,22.9011,406.99
2016-07-01,24.6178,404.59
2016-08-01,25.3382,402.45
2016-09-01,21.774,401.23
2016-10-01,15.5113,401.79
2016-11-01,8.8689,403.72
2016-12-01,1.1733,404.64
2017-01-01,3.0771,406.36
2017-02-01,6.2181,406.66
2017-03-01,6.52,407.54
2017-04-01,15.1165,409.22
2017-05-01,16.9462,409.89
2017-06-01,21.9333,409.08
2017-07-01,23.8918,407.33
2017-08-01,22.0683,405.32
2017-09-01,19.7453,403.57
2017-10-01,14.8732,403.82
2017-11-01,6.7679,405.31
2017-12-01,0.2062,407.0
2018-01-01,-2.2639,408.15
2018-02-01,4.4833,408.52
2018-03-01,4.2773,409.59
2018-04-01,8.9745,410.45
2018-05-01,21.551,411.44
2018-06-01,23.2946,410.99
2018-07-01,24.2644,408.9
2018-08-01,24.1584,407.16
2018-09-01,22.1405,405.71
2018-10-01,13.7183,406.19
2018-11-01,4.3596,408.21
2018-12-01,3.3046,409.27
2019-01-01,-0.7555,411.03
2019-02-01,2.7449,411.96
2019-03-01,4.426,412.18
2019-04-01,12.9224,413.54
2019-05-01,18.7304,414.86
2019-06-01,21.7021,414.15
2019-07-01,25.297,411.96
2019-08-01,23.2635,410.17
2019-09-01,22.384,408.76
2019-10-01,14.6629,408.74
2019-11-01,4.1637,410.47
2019-12-01,3.9151,411.97
2020-01-01,3.0394,413.59
2020-02-01,2.1622,414.32
2020-03-01,8.4283,414.72
2020-04-01,10.007,416.42
2020-05-01,15.658,417.28
2020-06-01,22.2197,416.58
2020-07-01,25.6069,414.58
2020-08-01,23.1911,412.75
2020-09-01,19.187,411.5
2020-10-01,12.9419,411.49
2020-11-01,8.9267,413.1
2020-12-01,1.9733,414.23
2021-01-01,0.5408,415.49
