City,β_CO2,p_CO2,β_MEI,p_MEI,R²
New York,-0.005901080681368392,0.3664544794050567,0.01611502874505561,0.9048678272389294,0.003659127386305694
Mumbai,-0.0006998182359803304,0.7391214716755203,0.13375227629529768,0.0025769928320633537,0.04038137327813218
Corpus Christi,-0.0032015047961193193,0.6159419842374964,-0.15168811604928956,0.23369993145784584,0.009357546982282083
Columbus,-0.004707120916902836,0.48519680815669963,0.04180077219556364,0.7579603018965103,0.0021471357598757956
San Francisco,-0.001173674239740587,0.8065645430669992,0.22751471483467406,0.00235134650631249,0.03887269804638016
New Delhi,-0.0015711252306534942,0.7165016342406186,0.08285849902216183,0.3369731991555396,0.005430848203000771
Chicago,-0.005277692985929654,0.5140861134893613,0.10304238595022226,0.5014834865548088,0.0038578279946689387
