time,temperature_c,co2_ppm
2000-01-01,-0.98,369.45
2000-02-01,1.9,369.71
2000-03-01,7.8,370.75
2000-04-01,10.11,371.98
2000-05-01,16.77,371.75
2000-06-01,21.39,371.87
2000-07-01,21.87,370.02
2000-08-01,22.03,368.27
2000-09-01,18.47,367.15
2000-10-01,12.9,367.18
2000-11-01,6.46,368.53
2000-12-01,-1.35,369.83
2001-01-01,-0.76,370.76
2001-02-01,1.7,371.69
2001-03-01,3.65,372.63
2001-04-01,11.18,373.55
2001-05-01,16.71,374.03
2001-06-01,22.01,373.4
2001-07-01,22.11,371.68
2001-08-01,24.57,369.78
2001-09-01,18.64,368.34
2001-10-01,13.41,368.61
2001-11-01,9.88,369.94
2001-12-01,5.41,371.42
2002-01-01,3.09,372.7
2002-02-01,3.88,373.37
2002-03-01,6.28,374.3
2002-04-01,12.42,375.19
2002-05-01,15.2,375.93
2002-06-01,21.46,375.69
2002-07-01,25.02,374.16
2002-08-01,24.56,372.03
2002-09-01,20.21,370.92
2002-10-01,12.16,370.73
2002-11-01,6.41,372.43
2002-12-01,0.83,373.98
2003-01-01,-3.12,375.07
2003-02-01,-1.98,375.82
2003-03-01,5.24,376.64
2003-04-01,9.34,377.92
2003-05-01,14.22,378.78
2003-06-01,19.86,378.46
2003-07-01,23.95,376.88
2003-08-01,24.23,374.57
2003-09-01,19.56,373.34
2003-10-01,11.74,373.31
2003-11-01,9.22,374.84
2003-12-01,2.13,376.17
2004-01-01,-4.21,377.17
2004-02-01,0.7,378.05
2004-03-01,6.12,379.06
2004-04-01,11.17,380.54
2004-05-01,18.6,380.8
2004-06-01,20.72,379.87
2004-07-01,22.97,377.65
2004-08-01,22.6801,376.17
2004-09-01,19.96,374.43
2004-10-01,12.22,374.63
2004-11-01,8.11,376.33
2004-12-01,2.09,377.68
2005-01-01,-1.21,378.63
2005-02-01,1.4,379.91
2005-03-01,2.87,380.95
2005-04-01,11.55,382.48
2005-05-01,13.99,382.64
2005-06-01,22.82,382.4
2005-07-01,24.77,380.93
2005-08-01,25.15,378.93
2005-09-01,21.58,376.89
2005-10-01,13.64,377.19
2005-11-01,8.68,378.54
2005-12-01,0.51,380.31
2006-01-01,3.82,381.58
2006-02-01,1.48,382.4
2006-03-01,5.63,382.86
2006-04-01,12.01,384.8
2006-05-01,16.43,385.22
2006-06-01,21.42,384.24
2006-07-01,25.18,382.65
2006-08-01,23.68,380.6
2006-09-01,18.21,379.04
2006-10-01,12.24,379.33
2006-11-01,9.93,380.35
2006-12-01,5.68,382.02
2007-01-01,2.49,383.1
2007-02-01,-2.63,384.12
2007-03-01,4.93,384.81
2007-04-01,9.31,386.73
2007-05-01,17.43,386.78
2007-06-01,21.79,386.33
2007-07-01,23.41,384.73
2007-08-01,23.39,382.24
2007-09-01,20.36,381.2
2007-10-01,16.84,381.37
2007-11-01,6.6,382.7
2007-12-01,2.15,384.19
2008-01-01,1.51,385.78
2008-02-01,1.59,386.06
2008-03-01,5.36,386.28
2008-04-01,12.08,387.33
2008-05-01,14.55,388.78
2008-06-01,22.91,387.99
2008-07-01,24.83,386.61
2008-08-01,22.11,384.32
2008-09-01,19.98,383.41
2008-10-01,12.05,383.22
2008-11-01,6.77,384.41
2008-12-01,2.52,385.79
2009-01-01,-2.91,387.17
2009-02-01,1.86,387.7
2009-03-01,5.27,389.04
2009-04-01,11.73,389.76
2009-05-01,16.49,390.36
2009-06-01,20.08,389.7
2009-07-01,22.44,388.24
2009-08-01,24.03,386.29
2009-09-01,18.52,384.95
2009-10-01,12.03,384.64
2009-11-01,9.87,386.23
2009-12-01,1.6,387.63
2010-01-01,-0.25,388.91
2010-02-01,0.08,390.41
2010-03-01,8.28,391.37
2010-04-01,13.29,392.67
2010-05-01,17.99,393.21
2010-06-01,23.15,392.38
2010-07-01,26.03,390.41
2010-08-01,24.02,388.54
